name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Nikita Kucherov,TB,RW,CBS,2020-12-27 13:05:54.472169,25.12,45.34,0.21,12.92,189.61,,,,,,
Brad Marchand,BOS,LW,CBS,2020-12-27 13:05:54.472169,24.45,42.88,0.14,10.29,156.4,,,,,,
David Pastrnak,BOS,RW,CBS,2020-12-27 13:05:54.472169,30.98,31.51,-0.5,12.34,202.03,,,,,,
Mikko Rantanen,COL,RW,CBS,2020-12-27 13:05:54.472169,25.4,33.76,3.11,12.65,177.65,,,,,,
Mitchell Marner,TOR,RW,CBS,2020-12-27 13:05:54.472169,14.59,48.28,0.45,14.16,155.07,,,,,,
Max Pacioretty,VGS,LW,CBS,2020-12-27 13:05:54.472169,26.31,26.52,3.18,9.18,300.12,,,,,,
Alex Ovechkin,WSH,LW,CBS,2020-12-27 13:05:54.472169,37.34,14.39,-5.55,9.25,268.43,,,,,,
Bryan Rust,PIT,RW,CBS,2020-12-27 13:05:54.472169,26.45,27.0,-3.54,9.91,153.92,,,,,,
Matthew Tkachuk,CGY,RW,CBS,2020-12-27 13:05:54.472169,20.09,32.54,0.13,8.54,147.99,,,,,,
Mark Stone,VGS,RW,CBS,2020-12-27 13:05:54.472169,18.98,37.01,0.81,9.12,173.65,,,,,,
Jake Guentzel,PIT,LW,CBS,2020-12-27 13:05:54.472169,25.99,29.14,-5.04,8.64,189.6,,,,,,
Gabriel Landeskog,COL,LW,CBS,2020-12-27 13:05:54.472169,20.19,28.46,3.11,10.39,168.15,,,,,,
Kyle Connor,WPG,LW,CBS,2020-12-27 13:05:54.472169,28.16,24.18,-2.28,7.61,177.64,,,,,,
David Perron,STL,RW,CBS,2020-12-27 13:05:54.472169,21.77,28.29,-3.65,11.8,147.51,,,,,,
Jonathan Huberdeau,FLA,LW,CBS,2020-12-27 13:05:54.472169,16.4,36.24,0.92,11.49,120.03,,,,,,
Andrei Svechnikov,CAR,LW,CBS,2020-12-27 13:05:54.472169,21.54,28.92,-3.8,9.88,159.87,,,,,,
Kevin Fiala,MIN,RW,CBS,2020-12-27 13:05:54.472169,21.78,25.26,3.53,8.91,166.11,,,,,,
William Nylander,TOR,LW,CBS,2020-12-27 13:05:54.472169,25.77,24.09,-0.11,8.92,164.62,,,,,,
Elias Lindholm,CGY,RW,CBS,2020-12-27 13:05:54.472169,23.51,23.58,-0.41,9.59,130.11,,,,,,
Johnny Gaudreau,CGY,LW,CBS,2020-12-27 13:05:54.472169,17.23,33.8,-0.76,10.0,164.37,,,,,,
Kyle Palmieri,NJ,RW,CBS,2020-12-27 13:05:54.472169,23.81,18.51,5.9,8.8,126.5,,,,,,
Chris Kreider,NYR,LW,CBS,2020-12-27 13:05:54.472169,23.03,19.21,7.37,6.79,133.65,,,,,,
Evander Kane,SJ,LW,CBS,2020-12-27 13:05:54.472169,21.39,16.08,-0.28,8.8,186.94,,,,,,
Andre Burakovsky,COL,RW,CBS,2020-12-27 13:05:54.472169,20.87,26.64,3.11,6.66,107.65,,,,,,
Teuvo Teravainen,CAR,RW,CBS,2020-12-27 13:05:54.472169,13.61,35.54,0.71,9.45,154.78,,,,,,
Patrik Laine,WPG,RW,CBS,2020-12-27 13:05:54.472169,22.51,24.74,-2.4,7.09,177.75,,,,,,
Travis Konecny,PHI,RW,CBS,2020-12-27 13:05:54.472169,16.82,28.88,-0.92,9.34,117.84,,,,,,
Blake Wheeler,WPG,RW,CBS,2020-12-27 13:05:54.472169,16.31,29.55,-3.77,9.72,129.91,,,,,,
Dominik Kubalik,CHI,LW,CBS,2020-12-27 13:05:54.472169,26.32,14.93,3.31,7.1,116.42,,,,,,
Zach Hyman,TOR,LW,CBS,2020-12-27 13:05:54.472169,23.14,18.27,8.26,3.84,125.67,,,,,,
Jaden Schwartz,STL,LW,CBS,2020-12-27 13:05:54.472169,19.52,26.12,-3.72,8.26,143.77,,,,,,
Brandon Saad,COL,RW,CBS,2020-12-27 13:05:54.472169,24.55,15.26,16.55,0.75,129.24,,,,,,
Reilly Smith,VGS,RW,CBS,2020-12-27 13:05:54.472169,21.22,24.14,2.04,4.15,169.88,,,,,,
Jakub Voracek,PHI,RW,CBS,2020-12-27 13:05:54.472169,11.17,32.08,1.14,8.74,111.79,,,,,,
Taylor Hall,BUF,LW,CBS,2020-12-27 13:05:54.472169,13.16,28.57,0.83,8.66,159.77,,,,,,
Brock Boeser,VAN,RW,CBS,2020-12-27 13:05:54.472169,16.16,26.71,0.88,7.23,131.37,,,,,,
Jason Zucker,PIT,LW,CBS,2020-12-27 13:05:54.472169,20.35,19.2,6.05,5.87,108.9,,,,,,
Nikita Gusev,NJ,RW,CBS,2020-12-27 13:05:54.472169,12.74,29.49,5.9,7.94,126.0,,,,,,
Tyler Ennis,EDM,LW,CBS,2020-12-27 13:05:54.472169,16.29,21.39,11.77,5.94,113.98,,,,,,
Tomas Tatar,MON,LW,CBS,2020-12-27 13:05:54.472169,15.78,25.85,-2.72,7.42,132.13,,,,,,
Nikolaj Ehlers,WPG,LW,CBS,2020-12-27 13:05:54.472169,20.01,22.16,2.2,2.54,152.39,,,,,,
Oliver Bjorkstrand,CLB,RW,CBS,2020-12-27 13:05:54.472169,23.29,15.32,3.62,5.17,188.71,,,,,,
Filip Forsberg,NSH,LW,CBS,2020-12-27 13:05:54.472169,18.04,20.57,0.33,7.56,195.82,,,,,,
Kailer Yamamoto,EDM,RW,CBS,2020-12-27 13:05:54.472169,17.3,26.56,-0.55,1.89,81.34,,,,,,
Victor Olofsson,BUF,LW,CBS,2020-12-27 13:05:54.472169,18.02,19.85,0.83,10.04,115.16,,,,,,
Zach Parise,MIN,LW,CBS,2020-12-27 13:05:54.472169,19.76,18.43,0.84,7.9,128.69,,,,,,
Anthony Duclair,FLA,LW,CBS,2020-12-27 13:05:54.472169,21.23,15.9,4.57,5.52,142.29,,,,,,
Jonathan Marchessault,VGS,LW,CBS,2020-12-27 13:05:54.472169,17.52,22.35,-1.29,6.04,241.97,,,,,,
Pavel Buchnevich,NYR,RW,CBS,2020-12-27 13:05:54.472169,14.7,24.45,7.35,4.44,118.81,,,,,,
Alex DeBrincat,CHI,LW,CBS,2020-12-27 13:05:54.472169,15.02,22.38,0.38,9.5,148.95,,,,,,
Jordan Eberle,NYI,RW,CBS,2020-12-27 13:05:54.472169,15.34,23.01,2.1,7.52,133.62,,,,,,
Nick Ritchie,BOS,LW,CBS,2020-12-27 13:05:54.472169,12.93,14.99,12.89,2.69,86.97,,,,,,
James Neal,EDM,LW,CBS,2020-12-27 13:05:54.472169,22.8,12.51,-1.67,8.06,112.68,,,,,,
Tyler Toffoli,MON,RW,CBS,2020-12-27 13:05:54.472169,19.72,15.74,4.0,5.6,170.64,,,,,,
Alex Killorn,TB,RW,CBS,2020-12-27 13:05:54.472169,19.54,16.02,0.21,6.03,106.3,,,,,,
Jamie Benn,DAL,LW,CBS,2020-12-27 13:05:54.472169,16.84,18.1,-0.79,5.29,125.67,,,,,,
T.J. Oshie,WSH,RW,CBS,2020-12-27 13:05:54.472169,20.49,16.22,-4.65,6.33,117.14,,,,,,
Anthony Mantha,DET,RW,CBS,2020-12-27 13:05:54.472169,17.47,22.12,-9.53,5.23,139.58,,,,,,
Alexander Radulov,DAL,RW,CBS,2020-12-27 13:05:54.472169,15.8,18.63,-0.14,5.33,108.08,,,,,,
Cam Atkinson,CLB,RW,CBS,2020-12-27 13:05:54.472169,16.1,20.7,1.74,6.33,188.27,,,,,,
Tom Wilson,WSH,RW,CBS,2020-12-27 13:05:54.472169,15.8,17.99,-5.55,3.79,131.24,,,,,,
Roope Hintz,DAL,LW,CBS,2020-12-27 13:05:54.472169,15.6,17.89,3.88,6.81,105.6,,,,,,
Brady Tkachuk,OTT,LW,CBS,2020-12-27 13:05:54.472169,15.37,16.22,-0.78,3.88,187.63,,,,,,
Timo Meier,SJ,LW,CBS,2020-12-27 13:05:54.472169,17.17,18.81,-0.28,4.32,155.19,,,,,,
Anders Lee,NYI,LW,CBS,2020-12-27 13:05:54.472169,17.02,16.44,-0.28,4.99,167.77,,,,,,
Brendan Gallagher,MON,RW,CBS,2020-12-27 13:05:54.472169,16.98,18.45,-0.66,4.18,227.7,,,,,,
Clayton Keller,ARI,RW,CBS,2020-12-27 13:05:54.472169,14.99,21.47,-4.88,6.46,131.65,,,,,,
Ondrej Palat,TB,LW,CBS,2020-12-27 13:05:54.472169,17.25,17.31,0.21,4.47,128.79,,,,,,
Jakub Vrana,WSH,LW,CBS,2020-12-27 13:05:54.472169,17.66,19.05,-5.38,5.43,158.29,,,,,,
Seth Griffith,EDM,C,CBS,2020-12-27 13:05:54.472169,14.64,18.35,4.15,4.36,104.38,,,,,,
Josh Bailey,NYI,RW,CBS,2020-12-27 13:05:54.472169,10.72,27.4,-4.94,6.81,79.17,,,,,,
Zack Kassian,EDM,RW,CBS,2020-12-27 13:05:54.472169,14.88,18.25,1.44,0.0,88.49,,,,,,
Rickard Rakell,ANA,LW,CBS,2020-12-27 13:05:54.472169,12.51,22.92,-1.89,6.2,145.65,,,,,,
Oskar Lindblom,PHI,LW,CBS,2020-12-27 13:05:54.472169,20.45,10.89,2.31,4.62,125.8,,,,,,
Wayne Simmonds,TOR,RW,CBS,2020-12-27 13:05:54.472169,8.8,17.78,11.98,5.76,100.27,,,,,,
Jesper Bratt,NJ,LW,CBS,2020-12-27 13:05:54.472169,16.35,15.71,5.9,3.17,89.06,,,,,,
Patric Hornqvist,FLA,RW,CBS,2020-12-27 13:05:54.472169,16.52,15.09,-5.14,4.64,180.85,,,,,,
Craig Smith,BOS,RW,CBS,2020-12-27 13:05:54.472169,14.61,10.32,12.89,3.52,159.88,,,,,,
Joonas Donskoi,COL,RW,CBS,2020-12-27 13:05:54.472169,15.81,15.65,3.11,2.55,101.44,,,,,,
Tanner Pearson,VAN,LW,CBS,2020-12-27 13:05:54.472169,15.65,17.33,-2.36,3.09,112.92,,,,,,
Anthony Beauvillier,NYI,LW,CBS,2020-12-27 13:05:54.472169,17.02,15.83,-5.56,4.99,125.03,,,,,,
Keegan Kolesar,VGS,RW,CBS,2020-12-27 13:05:54.472169,13.54,16.39,5.03,3.57,123.62,,,,,,
Tyler Bertuzzi,DET,LW,CBS,2020-12-27 13:05:54.472169,15.02,17.99,-9.53,5.09,77.68,,,,,,
Denis Gurianov,DAL,RW,CBS,2020-12-27 13:05:54.472169,18.69,10.26,-0.79,5.68,105.81,,,,,,
Jakob Silfverberg,ANA,LW,CBS,2020-12-27 13:05:54.472169,16.7,14.5,-1.89,4.26,116.08,,,,,,
Ondrej Kase,BOS,RW,CBS,2020-12-27 13:05:54.472169,8.17,22.48,12.89,1.22,160.53,,,,,,
Zach Sanford,STL,LW,CBS,2020-12-27 13:05:54.472169,15.33,14.73,0.5,0.93,91.41,,,,,,
Jonathan Drouin,MON,LW,CBS,2020-12-27 13:05:54.472169,11.0,20.3,-9.44,7.06,108.06,,,,,,
Austin Poganski,STL,RW,CBS,2020-12-27 13:05:54.472169,13.36,16.22,2.61,3.51,105.32,,,,,,
Alex Tuch,VGS,RW,CBS,2020-12-27 13:05:54.472169,16.25,12.46,-1.29,5.52,177.03,,,,,,
Nicholas Merkley,NJ,RW,CBS,2020-12-27 13:05:54.472169,14.24,16.49,-1.54,2.99,101.42,,,,,,
Alex Iafallo,LA,LW,CBS,2020-12-27 13:05:54.472169,12.35,19.13,-0.92,4.52,125.86,,,,,,
Justin Bailey,VAN,RW,CBS,2020-12-27 13:05:54.472169,12.51,15.19,3.19,3.31,93.52,,,,,,
Andreas Johnsson,NJ,LW,CBS,2020-12-27 13:05:54.472169,11.09,15.11,5.9,4.27,100.25,,,,,,
James van Riemsdyk,PHI,LW,CBS,2020-12-27 13:05:54.472169,15.31,14.71,-0.92,3.99,127.34,,,,,,
Conor Garland,ARI,RW,CBS,2020-12-27 13:05:54.472169,17.07,13.44,-6.06,4.24,118.51,,,,,,
Jake DeBrusk,BOS,LW,CBS,2020-12-27 13:05:54.472169,17.2,11.43,-0.55,3.58,149.66,,,,,,
Connor Brown,OTT,RW,CBS,2020-12-27 13:05:54.472169,11.71,19.91,-0.78,2.21,125.34,,,,,,
John Carlson,WSH,D,CBS,2020-12-27 13:05:54.472169,10.82,46.78,-4.12,13.88,160.75,,,,,,
Cale Makar,COL,D,CBS,2020-12-27 13:05:54.472169,12.94,37.55,3.11,11.35,137.47,,,,,,
Dougie Hamilton,CAR,D,CBS,2020-12-27 13:05:54.472169,16.84,28.55,7.23,7.55,214.35,,,,,,
Victor Hedman,TB,D,CBS,2020-12-27 13:05:54.472169,13.5,33.6,0.21,11.35,153.43,,,,,,
Roman Josi,NSH,D,CBS,2020-12-27 13:05:54.472169,10.95,35.55,3.71,10.66,230.97,,,,,,
Tony DeAngelo,NYR,D,CBS,2020-12-27 13:05:54.472169,12.69,31.07,7.35,8.88,118.43,,,,,,
Alex Pietrangelo,VGS,D,CBS,2020-12-27 13:05:54.472169,13.2,30.7,2.94,10.38,220.06,,,,,,
Shea Theodore,VGS,D,CBS,2020-12-27 13:05:54.472169,13.26,30.17,2.97,9.95,235.21,,,,,,
Torey Krug,STL,D,CBS,2020-12-27 13:05:54.472169,8.07,33.56,-3.72,11.92,143.98,,,,,,
Quinn Hughes,VAN,D,CBS,2020-12-27 13:05:54.472169,6.24,38.06,-3.15,10.64,88.18,,,,,,
Kris Letang,PIT,D,CBS,2020-12-27 13:05:54.472169,12.99,24.05,-5.04,7.44,168.19,,,,,,
Ryan Suter,MIN,D,CBS,2020-12-27 13:05:54.472169,6.43,32.06,1.98,8.07,92.39,,,,,,
Adam Fox,NYR,D,CBS,2020-12-27 13:05:54.472169,6.65,26.56,13.67,5.66,97.84,,,,,,
John Klingberg,DAL,D,CBS,2020-12-27 13:05:54.472169,7.32,29.27,-1.45,7.99,104.31,,,,,,
Zach Werenski,CLB,D,CBS,2020-12-27 13:05:54.472169,15.82,17.14,2.65,6.64,167.74,,,,,,
Rasmus Dahlin,BUF,D,CBS,2020-12-27 13:05:54.472169,3.56,30.96,0.83,8.88,75.52,,,,,,
Ryan Ellis,NSH,D,CBS,2020-12-27 13:05:54.472169,8.18,28.31,3.71,4.91,146.78,,,,,,
Mark Giordano,CGY,D,CBS,2020-12-27 13:05:54.472169,4.85,27.88,7.65,5.68,141.04,,,,,,
