team,age,name,position_yahoo,rollup,vorp,vorn,round,pick,rank,arbitrage,target
Mon,25.0,Jonathan Drouin,"C,LW",25.9,-19.7,-11.0,22.0,252.5,241.0,11.5,False
Cls,26.0,Elvis Merzlikins,G,54.8,-19.8,-15.7,10.0,110.0,242.0,-132.0,False
Nsh,28.0,Ryan Johansen,C,27.2,-19.9,-7.4,20.0,232.0,243.0,-11.0,False
StL,,Robert Thomas,"C,RW",23.2,-20.4,-17.0,20.0,234.0,244.0,-10.0,False
Wpg,35.0,Paul Stastny,C,26.5,-20.7,,23.0,269.0,245.0,24.0,False
Tor,,Nicholas Robertson,LW,24.1,-21.5,-10.7,17.0,195.5,246.0,-50.5,False
Col,,Bowen Byram,D,18.5,-21.7,,23.0,272.5,247.0,25.5,False
Buf,36.0,Eric Staal,C,24.9,-22.3,,23.0,266.0,248.0,18.0,False
Ott,,Tim Stuetzle,LW,22.0,-23.5,-10.2,16.0,191.0,249.0,-58.0,False
NYI,25.0,Ilya Sorokin,G,49.7,-24.9,,21.0,244.0,250.0,-6.0,False
Was,29.0,Dmitry Orlov,D,15.2,-25.0,-18.6,19.0,218.0,251.0,-33.0,False
Mon,29.0,Ben Chiarot,D,15.1,-25.1,-23.8,20.0,236.5,252.0,-15.5,False
Pit,29.0,Casey DeSmith,G,49.3,-25.3,0.3,19.0,216.0,253.0,-37.0,False
SJ,30.0,Martin Jones,G,49.0,-25.6,-0.7,20.0,232.0,254.0,-22.0,False
Nsh,31.0,Mark Borowiecki,D,13.7,-26.4,-32.0,21.0,248.0,255.0,-7.0,False
Col,30.0,Pavel Francouz,G,47.5,-27.2,-24.4,9.0,100.0,256.0,-156.0,False
Van,25.0,Thatcher Demko,G,45.0,-29.6,-10.4,14.0,164.0,257.0,-93.0,False
Nsh,38.0,Pekka Rinne,G,43.7,-31.0,13.6,16.0,181.0,258.0,-77.0,False
VGK,,Marc-Andre Fleury,G,42.9,-31.7,-22.8,7.0,77.5,259.0,-181.5,False
Chi,,Malcolm Subban,G,42.3,-32.4,12.2,16.0,188.0,260.0,-72.0,False
Dal,34.0,Ben Bishop,G,42.3,-32.4,-28.2,10.0,116.0,261.0,-145.0,False
Ari,31.0,Antti Raanta,G,41.3,-33.3,-26.2,18.0,208.5,262.0,-53.5,False
Car,32.0,James Reimer,G,37.9,-36.8,-11.1,19.0,225.0,263.0,-38.0,False
Min,,Alex Stalock,G,37.1,-37.6,,24.0,284.0,264.0,20.0,False
Edm,38.0,Mike Smith,G,35.4,-39.2,,24.0,280.0,265.0,15.0,False
Tor,28.0,Jack Campbell,G,34.9,-39.8,-32.7,18.0,210.0,266.0,-56.0,False
NYR,24.0,Alexandar Georgiev,G,34.6,-40.0,,24.0,282.0,267.0,15.0,False
SJ,34.0,Devan Dubnyk,G,31.4,-43.2,,24.0,285.0,268.0,17.0,False
Mon,30.0,Jake Allen,G,30.1,-44.6,-11.3,17.0,199.0,269.0,-70.0,False
Buf,35.0,Carter Hutton,G,27.9,-46.8,-21.8,20.0,228.0,270.0,-42.0,False
Cgy,28.0,David Rittich,G,27.6,-47.0,-2.4,16.0,182.0,271.0,-89.0,False
NJ,,MacKenzie Blackwood,G,27.6,-47.0,,24.0,277.0,272.0,5.0,False
Det,34.0,Thomas Greiss,G,27.4,-47.3,-2.7,16.0,184.5,273.0,-88.5,False
Fla,,Chris Driedger,G,26.9,-47.7,-22.1,19.0,217.0,274.0,-57.0,False
LA,,Calvin Petersen,G,21.5,-53.2,-27.6,19.0,224.0,275.0,-51.0,False
NYR,,Alexis Lafreniere,LW,,,,12.0,134.0,,,False
Was,,Zdeno Chara,D,,,,14.0,163.0,,,False
Chi,,Kirby Dach,C,,,,15.0,170.0,,,False
LA,,Quinton Byfield,C,,,,15.0,179.0,,,False
VGK,33.0,Ryan Reaves,RW,,,,16.0,184.5,,,False
TB,23.0,Erik Cernak,D,,,,16.0,189.5,,,False
Bos,24.0,Brandon Carlo,D,,,,18.0,215.0,,,False
Chi,25.0,Nikita Zadorov,D,,,,22.0,256.0,,,False
Pit,29.0,Brandon Tanev,"LW,RW",,,,22.0,259.0,,,False
Tor,,Mikko Lehtonen,D,,,,23.0,267.0,,,False
Was,38.0,Henrik Lundqvist,G,,,,24.0,286.0,,,False
