name,team,position,pick
Oliver Ekman-Larsson,Ari,D,115.8
Nicklas Backstrom,Was,C,116.1
Logan Couture,SJ,C,116.6
Adam Fox,NYR,D,116.7
Jamie Benn,Dal,"C,LW",118.4
Mark Giordano,Cgy,D,118.8
Juuse Saros,Nsh,G,119.3
Ben Bishop,Dal,G,119.5
Alexander Radulov,Dal,"LW,RW",122.3
Ryan Pulock,NYI,D,122.7
Ryan Ellis,Nsh,D,123.0
Keith Yandle,Fla,D,124.7
Jaroslav Halak,Bos,G,125.5
David Perron,StL,"LW,RW",126.2
Joonas Korpisalo,Cls,G,126.8
Mikhail Sergachev,TB,D,127.5
Sam Reinhart,Buf,"C,RW",128.7
Dominik Kubalik,Chi,"LW,RW",129.3
Rasmus Ristolainen,Buf,D,129.7
Sergei Bobrovsky,Fla,G,129.9
Dylan Larkin,Det,C,130.2
Victor Olofsson,Buf,"LW,RW",130.5
Aaron Ekblad,Fla,D,130.6
Alexis Lafreniere,NYR,LW,131.9
Colton Parayko,StL,D,133.7
Chris Kreider,NYR,LW,134.0
Drew Doughty,LA,D,134.0
Ryan Strome,NYR,"C,RW",135.4
Tomas Hertl,SJ,"C,LW",135.5
Anze Kopitar,LA,C,136.3
Jacob Trouba,NYR,D,136.3
Darnell Nurse,Edm,D,136.4
Ryan Suter,Min,D,138.1
Nazem Kadri,Col,C,138.9
Sean Monahan,Cgy,C,143.6
Matt Dumba,Min,D,143.7
Bo Horvat,Van,C,146.0
Jonathan Toews,Chi,C,148.5
Kirill Kaprizov,Min,LW,148.5
Ryan Graves,Col,D,149.0
Patric Hornqvist,Fla,RW,150.4
Nate Schmidt,Van,D,151.2
T.J. Oshie,Was,RW,151.3
Reilly Smith,VGK,RW,151.3
Matt Duchene,Nsh,"C,RW",152.0
Blake Coleman,TB,"LW,RW",152.2
Jaden Schwartz,StL,LW,152.5
Tomas Tatar,Mon,"LW,RW",153.3
Jaccob Slavin,Car,D,153.3
Jack Hughes,NJ,"C,LW",154.3
John Gibson,Anh,G,156.4
Nico Hischier,NJ,C,156.9
Semyon Varlamov,NYI,G,157.4
Jake Muzzin,Tor,D,157.7
Viktor Arvidsson,Nsh,"LW,RW",158.0
Thatcher Demko,Van,G,158.0
Zdeno Chara,Was,D,158.0
Cam Atkinson,Cls,RW,158.4
Kirby Dach,Chi,C,159.1
Nikolaj Ehlers,Wpg,"LW,RW",159.3
Kevin Shattenkirk,Anh,D,159.5
Quinton Byfield,LA,C,159.7
Anthony Mantha,Det,"LW,RW",160.4
Vladimir Tarasenko,StL,RW,160.5
Ondrej Palat,TB,LW,160.6
Max Domi,Cls,"C,LW",160.6
Jonathan Quick,LA,G,160.6
Bryan Rust,Pit,"LW,RW",160.8
Tyler Seguin,Dal,"C,RW",161.1
Pekka Rinne,Nsh,G,161.8
Jared Spurgeon,Min,D,162.0
Erik Cernak,TB,D,162.5
Craig Smith,Bos,RW,162.7
Joe Pavelski,Dal,"C,RW",162.7
Ryan Reaves,VGK,RW,162.9
Linus Ullmark,Buf,G,162.9
Malcolm Subban,Chi,G,163.0
Kaapo Kakko,NYR,RW,163.2
Thomas Greiss,Det,G,163.3
David Rittich,Cgy,G,163.3
Jakub Voracek,Phi,RW,163.4
Jake DeBrusk,Bos,"LW,RW",163.6
Tim Stuetzle,Ott,LW,163.8
Alex Killorn,TB,"LW,RW",163.9
Charlie Coyle,Bos,"C,RW",163.9
Nicholas Robertson,Tor,LW,164.0
Brandon Saad,Col,"LW,RW",164.1
Phil Kessel,Ari,RW,164.2
Filip Hronek,Det,D,164.2
James van Riemsdyk,Phi,LW,164.3
