name,team,position,pick
Dustin Brown,LA,RW,175.2
Bowen Byram,Col,D,175.2
Clayton Keller,Ari,"LW,RW",175.4
Matt Murray,Ott,G,176.4
Mikko Koskinen,Edm,G,177.2
MacKenzie Blackwood,NJ,G,178.0
Rickard Rakell,Anh,"LW,RW",179.0
Denis Gurianov,Dal,"LW,RW",179.2
Mike Smith,Edm,G,181.0
Kevin Labanc,SJ,"LW,RW",181.8
Alexandar Georgiev,NYR,G,182.0
Nikita Gusev,NJ,"LW,RW",183.2
Alex Stalock,Min,G,183.6
Devan Dubnyk,SJ,G,184.2
Henrik Lundqvist,Was,G,185.2
