name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Olli Juolevi,VAN,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.7,16.3,-9.9,0.0,74.3,74.8,75.5,,,,
Tyson Jost,COL,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,8.3,11.5,-0.3,4.2,91.7,37.3,21.2,,,,
Ryan Graves,COL,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.2,13.7,14.1,0.0,115.1,103.6,144.6,,,,
Rasmus Andersson,CGY,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.2,15.7,3.8,2.6,104.3,44.9,72.4,,,,
Valeri Nichushkin,COL,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.7,12.0,5.2,0.6,96.8,72.0,18.9,,,,
Sammy Blais,STL,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.9,11.7,-2.8,0.0,81.0,224.3,21.7,,,,
Grigori Denisenko,FLA,LW,Daily Faceoff,2021-01-04 20:06:43.044721,9.8,9.8,1.5,2.8,103.2,32.7,16.4,,,,
Ty Smith,NJ,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.9,15.7,-10.7,3.4,60.1,11.5,37.9,,,,
Artturi Lehkonen,MTL,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,9.9,9.7,0.0,1.4,116.3,69.8,22.8,,,,
Mattias Janmark,CHI,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,8.0,11.3,-5.5,2.6,75.6,15.0,28.2,,,,
Ryan Murray,NJ,D,Daily Faceoff,2021-01-04 20:06:43.044721,2.5,16.9,-5.4,0.8,58.0,28.5,96.3,,,,
Anders Bjork,BOS,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.5,11.8,3.1,1.8,61.2,38.1,23.6,,,,
Lucas Wallmark,CHI,C,Daily Faceoff,2021-01-04 20:06:43.044721,7.7,11.6,-3.0,4.3,80.6,52.1,24.4,,,,
Philippe Myers,PHI,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.5,13.6,9.4,0.0,112.4,115.3,63.4,,,,
Jake Gardiner,CAR,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.5,15.6,-2.2,6.0,62.3,39.3,40.0,,,,
Sam Bennett,CGY,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,9.4,9.7,-9.6,2.9,90.9,81.3,22.4,,,,
