team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
Pit,25.0,Tristan Jarry,,,G,G,53.7,-8.6,59.5,10.0,20.0,-10.0,5.0
Cgy,26.0,Elias Lindholm,1.0,1.0,"C,RW",RW,48.9,-2.1,60.0,16.0,14.0,2.0,6.0
Cgy,26.0,Elias Lindholm,1.0,1.0,"C,RW",C,48.9,-6.2,60.0,21.0,17.0,4.0,6.0
Was,28.0,Evgeny Kuznetsov,1.0,1.0,C,C,43.3,-11.8,62.5,22.0,32.0,-10.0,6.0
Col,30.0,Pavel Francouz,,,G,G,56.1,-6.3,63.0,11.0,18.0,-7.0,6.0
Wpg,24.0,Kyle Connor,2.0,1.0,LW,LW,47.6,-6.1,65.0,19.0,22.5,-3.5,6.0
StL,29.0,Brayden Schenn,1.0,1.0,"C,RW",RW,47.5,-3.5,65.5,17.0,17.0,0.0,6.0
StL,29.0,Brayden Schenn,1.0,1.0,"C,RW",C,47.5,-7.6,65.5,23.0,21.5,1.5,6.0
Buf,29.0,Taylor Hall,1.0,1.0,LW,LW,47.8,-5.9,66.0,20.0,21.0,-1.0,6.0
Nsh,26.0,Filip Forsberg,1.0,1.0,LW,LW,48.5,-5.2,66.5,21.0,19.0,2.0,6.0
Was,26.0,Tom Wilson,1.0,2.0,RW,RW,45.6,-5.4,67.5,18.0,23.0,-5.0,6.0
NYI,30.0,Anders Lee,1.0,1.0,LW,LW,46.9,-6.9,68.0,22.0,28.5,-6.5,6.0
VGK,30.0,Jonathan Marchessault,2.0,1.0,"C,LW",C,51.1,-4.0,69.0,24.0,16.0,8.0,6.0
VGK,30.0,Jonathan Marchessault,2.0,1.0,"C,LW",LW,51.1,-2.7,69.0,23.0,15.0,8.0,6.0
Wpg,25.0,Neal Pionk,2.0,1.0,D,D,45.8,5.8,70.5,8.0,6.0,2.0,6.0
Phi,23.0,Travis Konecny,1.0,1.0,RW,RW,44.7,-6.4,71.5,19.0,29.0,-10.0,6.0
SJ,29.0,Evander Kane,2.0,1.0,LW,LW,48.4,-5.3,72.0,24.0,20.0,4.0,7.0
NYR,,Igor Shesterkin,,,G,G,57.7,-4.6,72.0,12.0,15.0,-3.0,7.0
StL,,Mike Hoffman,2.0,1.0,"LW,RW",LW,47.6,-6.1,74.5,25.0,22.5,2.5,7.0
StL,,Mike Hoffman,2.0,1.0,"LW,RW",RW,47.6,-3.4,74.5,20.0,16.0,4.0,7.0
VGK,30.0,Alex Pietrangelo,1.0,2.0,D,D,44.8,4.8,76.0,9.0,9.0,0.0,7.0
Cls,26.0,Elvis Merzlikins,,,G,G,60.4,-2.0,76.5,13.0,12.0,1.0,7.0
Cls,22.0,Pierre-Luc Dubois,1.0,,C,C,45.0,-10.0,76.5,25.0,27.0,-2.0,7.0
Tor,26.0,Morgan Rielly,1.0,1.0,D,D,41.7,1.7,79.5,10.0,14.5,-4.5,7.0
Edm,27.0,Ryan Nugent-Hopkins,1.0,1.0,"C,LW",C,47.2,-7.9,80.5,26.0,23.0,3.0,7.0
Edm,27.0,Ryan Nugent-Hopkins,1.0,1.0,"C,LW",LW,47.2,-6.6,80.5,26.0,26.5,-0.5,7.0
Pit,33.0,Kris Letang,1.0,1.0,D,D,44.5,4.4,81.5,11.0,10.0,1.0,7.0
Det,24.0,Dylan Larkin,1.0,1.0,C,C,39.9,-15.2,82.0,27.0,42.0,-15.0,7.0
Bos,,Jaroslav Halak,,,G,G,51.2,-11.1,82.5,14.0,22.0,-8.0,7.0
Dal,34.0,Ben Bishop,,,G,G,57.5,-4.8,84.0,15.0,16.0,-1.0,8.0
Dal,31.0,Jamie Benn,1.0,1.0,"C,LW",LW,47.1,-6.6,84.5,27.0,26.5,0.5,8.0
Dal,31.0,Jamie Benn,1.0,1.0,"C,LW",C,47.1,-8.0,84.5,28.0,24.0,4.0,8.0
NYI,,Mathew Barzal,1.0,1.0,C,C,44.0,-11.1,86.5,29.0,31.0,-2.0,8.0
NYR,29.0,Chris Kreider,1.0,1.0,LW,LW,47.2,-6.5,87.0,28.0,25.0,3.0,8.0
Dal,34.0,Alexander Radulov,2.0,1.0,"LW,RW",LW,44.2,-9.5,88.5,29.0,34.0,-5.0,8.0
Dal,34.0,Alexander Radulov,2.0,1.0,"LW,RW",RW,44.2,-6.8,88.5,21.5,30.0,-8.5,8.0
Edm,,Kailer Yamamoto,2.0,2.0,RW,RW,45.3,-5.7,88.5,21.5,25.0,-3.5,8.0
Was,,Nicklas Backstrom,2.0,1.0,C,C,43.1,-12.0,89.5,30.0,33.0,-3.0,8.0
SJ,31.0,Logan Couture,1.0,1.0,C,C,40.9,-14.2,90.5,31.0,36.0,-5.0,8.0
Cgy,26.0,Sean Monahan,2.0,1.0,C,C,44.3,-10.8,91.0,32.0,29.5,2.5,8.0
Tor,24.0,William Nylander,2.0,1.0,"LW,RW",RW,43.6,-7.4,91.0,23.0,31.0,-8.0,8.0
Tor,24.0,William Nylander,2.0,1.0,"LW,RW",LW,43.6,-10.1,91.0,30.0,36.0,-6.0,8.0
SJ,24.0,Timo Meier,1.0,1.0,"LW,RW",LW,43.5,-10.2,91.5,31.0,37.0,-6.0,8.0
SJ,24.0,Timo Meier,1.0,1.0,"LW,RW",RW,43.5,-7.5,91.5,24.0,32.0,-8.0,8.0
Tor,31.0,Frederik Andersen,,,G,G,58.6,-3.7,93.0,16.0,13.0,3.0,8.0
LA,33.0,Anze Kopitar,1.0,1.0,C,C,44.3,-10.8,93.5,33.0,29.5,3.5,8.0
NYR,27.0,Ryan Strome,2.0,2.0,"C,RW",RW,45.0,-6.0,94.0,25.0,26.0,-1.0,8.0
NYR,27.0,Ryan Strome,2.0,2.0,"C,RW",C,45.0,-10.1,94.0,34.0,28.0,6.0,8.0
StL,32.0,David Perron,1.0,1.0,"LW,RW",RW,46.4,-4.6,94.5,26.0,21.5,4.5,8.0
StL,32.0,David Perron,1.0,1.0,"LW,RW",LW,46.4,-7.3,94.5,32.0,30.5,1.5,8.0
Chi,23.0,Alex DeBrincat,1.0,1.0,"LW,RW",RW,42.4,-8.7,96.5,27.0,37.0,-10.0,9.0
Car,,Petr Mrazek,,,G,G,61.4,-0.9,96.5,17.0,10.0,7.0,9.0
Chi,23.0,Alex DeBrincat,1.0,1.0,"LW,RW",LW,42.4,-11.4,96.5,33.0,41.0,-8.0,9.0
Col,30.0,Nazem Kadri,2.0,1.0,C,C,46.0,-9.1,100.0,35.0,26.0,9.0,9.0
Fla,,Patric Hornqvist,2.0,2.0,RW,RW,47.0,-4.0,101.0,28.0,18.0,10.0,9.0
StL,29.0,Torey Krug,1.0,1.0,D,D,43.9,3.8,101.5,12.0,11.0,1.0,9.0
VGK,29.0,Reilly Smith,2.0,2.0,RW,RW,45.6,-5.5,101.5,29.0,24.0,5.0,9.0
Dal,,Miro Heiskanen,2.0,2.0,D,D,41.6,1.6,102.5,13.0,16.0,-3.0,9.0
Phi,23.0,Ivan Provorov,1.0,1.0,D,D,38.1,-1.9,103.5,14.0,27.5,-13.5,9.0
Cls,,Zach Werenski,1.0,1.0,D,D,41.4,1.4,104.5,15.0,17.0,-2.0,9.0
VGK,25.0,Shea Theodore,2.0,1.0,D,D,42.9,2.8,105.0,16.0,12.0,4.0,9.0
TB,29.0,Blake Coleman,3.0,,"LW,RW",LW,46.4,-7.3,108.0,34.0,30.5,3.5,10.0
TB,29.0,Blake Coleman,3.0,,"LW,RW",RW,46.4,-4.6,108.0,30.0,21.5,8.5,10.0
Mon,30.0,Tomas Tatar,1.0,2.0,"LW,RW",RW,44.9,-6.2,108.5,31.0,27.5,3.5,10.0
Mon,30.0,Tomas Tatar,1.0,2.0,"LW,RW",LW,44.9,-8.9,108.5,35.0,32.5,2.5,10.0
Was,,Jakub Vrana,2.0,2.0,LW,LW,38.8,-14.9,109.5,36.0,52.0,-16.0,10.0
