name,age,salary
Brenden Dillon,30,3000000.0
Erik Gudbranson,28,3000000.0
Mattias Ekholm,30,3000000.0
Elvis Merzlikins,26,3000000.0
Artem Anisimov,32,3000000.0
Valtteri Filppula,36,3000000.0
Micheal Ferland,28,3000000.0
Nick Schmaltz,24,3000000.0
Ian Cole,31,3000000.0
Marcus Foligno,29,3000000.0
Erik Gustafsson,28,3000000.0
Justin Schultz,30,3000000.0
Robin Lehner,29,3000000.0
Braden Holtby,31,2900000.0
Joonas Donskoi,28,2900000.0
Kasperi Kapanen,24,2860000.0
Victor Olofsson,25,2850000.0
Robby Fabbri,24,2800000.0
Jake McCabe,27,2800000.0
Connor Brown,26,2800000.0
Paul Byron,31,2800000.0
Patrik Nemeth,28,2800000.0
Chris Tierney,26,2800000.0
Thomas Greiss,34,2800000.0
Danton Heinen,25,2775000.0
Joel Edmundson,27,2750000.0
Greg Pateryn,30,2750000.0
Brendan Gallagher,28,2750000.0
Andrew Shaw,29,2750000.0
Philipp Grubauer,29,2750000.0
Riley Nash,31,2750000.0
David Rittich,28,2750000.0
Carter Hutton,35,2750000.0
Carl Hagelin,32,2700000.0
Marco Scandella,30,2700000.0
Duncan Keith,37,2650000.0
J.TCompher,25,2600000.0
Ondrej Kase,25,2600000.0
Linus Ullmark,27,2600000.0
Sam Bennett,24,2550000.0
Lars Eller,31,2500000.0
Tristan Jarry,25,2500000.0
Adam Lowry,27,2500000.0
Ryan Graves,25,2500000.0
Miles Wood,25,2500000.0
Oliver Bjorkstrand,25,2500000.0
Antoine Roussel,31,2500000.0
Radek Faksa,26,2500000.0
Brayden McNabb,29,2500000.0
Kevin Shattenkirk,31,2500000.0
Jared McCann,24,2500000.0
Zach Hyman,28,2500000.0
Dylan DeMelo,27,2500000.0
Thomas Hickey,31,2500000.0
Devan Dubnyk,34,2500000.0
Adam Pelech,26,2500000.0
Cal Clutterbuck,33,2500000.0
Markus Nutivaara,26,2500000.0
Radko Gudas,30,2500000.0
Jonathan Bernier,32,2500000.0
Leo Komarov,33,2500000.0
Kris Russell,33,2500000.0
Jamie Oleksiak,28,2500000.0
TJ Brodie,30,2500000.0
Jake DeBrusk,24,2500000.0
Colton Sissons,27,2500000.0
Frank Vatrano,26,2500000.0
Anton Khudobin,34,2500000.0
Radim Simek,28,2450000.0
Alex Iafallo,27,2450000.0
Anders Nilsson,30,2400000.0
Anthony Beauvillier,23,2400000.0
Artturi Lehkonen,25,2400000.0
Anthony Cirelli,23,2400000.0
Andrew Mangiapane,24,2400000.0
Dylan Strome,23,2400000.0
Mikhail Sergachev,22,2400000.0
Sven Baertschi,28,2400000.0
Oskar Lindblom,24,2400000.0
Joel Armia,27,2400000.0
Devon Toews,26,2350000.0
Andrew Copp,26,2300000.0
Pavel Francouz,30,2300000.0
Brock McGinn,26,2300000.0
Scott Laughton,26,2300000.0
Adrian Kempe,24,2250000.0
Mattias Janmark,28,2250000.0
Matt Grzelcyk,26,2250000.0
Alexander Wennberg,26,2250000.0
Oskar Sundqvist,26,2250000.0
Jaroslav Halák,35,2250000.0
John Moore,30,2250000.0
Joonas Korpisalo,26,2200000.0
Valeri Nichushkin,25,2200000.0
Alexandar Georgiev,24,2200000.0
Calle Järnkrok,29,2200000.0
Denis Gurianov,23,2200000.0
Richard Pánik,29,2200000.0
Jay Beagle,35,2200000.0
Ryan Donato,24,2150000.0
Warren Foegele,24,2150000.0
Alex Chiasson,30,2150000.0
Jordan Martinook,28,2150000.0
Stephen Johns,28,2050000.0
Blake Comeau,34,2000000.0
Roope Hintz,24,2000000.0
Jeff Carter,36,2000000.0
Nick Ritchie,25,2000000.0
Craig Smith,31,2000000.0
Ilya Sorokin,25,2000000.0
Zemgus Girgensons,26,2000000.0
MacKenzie Weegar,26,2000000.0
Mark Borowiecki,31,2000000.0
Nick Jensen,30,2000000.0
Justin Holl,28,2000000.0
Rocco Grimaldi,27,2000000.0
Pavel Zacha,23,2000000.0
Nick Holden,33,2000000.0
Cody Eakin,29,2000000.0
Sean Walker,26,2000000.0
Ryan Hartman,26,1900000.0
Matt Calvert,31,1875000.0
Vince Dunn,24,1875000.0
Justin Braun,33,1800000.0
Blake Coleman,29,1800000.0
Michal Kempný,30,1800000.0
Carson Soucy,26,1750000.0
Erik Haula,29,1750000.0
Carl Gunnarsson,34,1750000.0
Jake Virtanen,24,1700000.0
Anthony Duclair,25,1700000.0
Vladislav Gavrikov,25,1650000.0
Cédric Paquette,27,1650000.0
Chandler Stephenson,26,1625000.0
Jordan Greenway,23,1600000.0
Braydon Coburn,35,1600000.0
Jordan Oesterle,28,1600000.0
Jason Dickinson,25,1600000.0
Jordie Benn,33,1600000.0
Scott Harrington,27,1600000.0
Sonny Milano,24,1600000.0
Ivan Barbashev,25,1550000.0
Chris Wagner,29,1525000.0
Joel Eriksson Ek,23,1525000.0
Laurent Brossoit,27,1500000.0
Henrik Lundqvist,38,1500000.0
Zachary Sanford,26,1500000.0
Robert Hägg,25,1500000.0
Josh Archibald,28,1500000.0
Noel Acciari,29,1500000.0
Ethan Bear,23,1500000.0
Connor Carrick,26,1500000.0
Brian Elliott,35,1500000.0
Marcus Sörensen,28,1500000.0
Juuse Saros,25,1500000.0
Mikko Koivu,37,1500000.0
Wayne Simmonds,32,1500000.0
Jack Campbell,28,1500000.0
Jordan Weal,28,1500000.0
Mike Reilly,27,1500000.0
Luke Glendening,31,1500000.0
Vladislav Namestnikov,28,1500000.0
Andrej Sekera,34,1500000.0
Austin Watson,28,1500000.0
Mike Smith,38,1500000.0
Erik Cernak,23,1475000.0
Mackenzie Blackwood,24,1475000.0
Brendan Lemieux,24,1450000.0
Pierre-Édouard Bellemare,35,1450000.0
Anders Bjork,24,1400000.0
Michael Raffl,32,1400000.0
Samuel Blais,24,1400000.0
Brett Kulak,26,1400000.0
Robert Bortuzzo,31,1375000.0
Ryan Reaves,33,1375000.0
Lawson Crouse,23,1350000.0
Troy Terry,23,1350000.0
Tyler Pitlick,29,1300000.0
Dean Kukan,27,1300000.0
Jujhar Khaira,26,1300000.0
Garnet Hathaway,29,1300000.0
Philippe Myers,23,1300000.0
Curtis McElhinney,37,1300000.0
Derek Grant,30,1250000.0
Casey DeSmith,29,1250000.0
Kevan Miller,33,1250000.0
Tomas Nosek,28,1250000.0
Cody Ceci,27,1250000.0
Nathan Beaulieu,28,1250000.0
Pierre Engvall,24,1250000.0
Thatcher Demko,25,1200000.0
Andreas Athanasiou,26,1200000.0
Troy Stecher,26,1200000.0
Mikhail Grigorenko,26,1200000.0
Tage Thompson,23,1200000.0
Nicholas Paul,25,1200000.0
