position,name,ros_total,ros_mean,week_points
RB,Mike Tolbert,39.5,3.95,NA
RB,Orleans Darkwa,59.0,5.8999999999999995,6.1
RB,Patrick DiMarco,8.5,0.85,0.9
RB,Paul Perkins,2.0,0.2,0.2
RB,Peyton Barber,5.8,0.5272727272727272,0.5
RB,Rashad Jennings,77.6,7.76,7.9
RB,Reggie Bush,4.6,0.46,0.4
RB,Rex Burkhead,9.2,0.92,1.0
RB,Rob Kelley,18.0,1.8,1.8
RB,Robert Turbin,27.8,2.7800000000000002,2.7
RB,Rod Smith,0.03,0.003,NA
RB,Ronnie Hillman,40.6,3.690909090909091,3.6
RB,Ryan Mathews,105.1,9.554545454545455,7.4
RB,Shaun Draughn,36.9,3.69,9.5
RB,Spencer Ware,108.4,9.854545454545455,11.3
RB,Stepfan Taylor,9.3,0.93,0.8
RB,Steven Jackson,27.5,2.75,2.7
RB,T.J. Yeldon,47.699999999999996,4.336363636363636,4.5
RB,Taiwan Jones,5.2,0.52,0.5
RB,Terrance West,104.0,10.4,10.0
RB,Tevin Coleman,54.4,5.4399999999999995,8.8
RB,Theo Riddick,68.0,6.8,7.5
RB,Thomas Rawls,118.1,11.81,NA
RB,Tim Hightower,46.9,4.263636363636364,4.4
RB,Todd Gurley,120.2,12.02,11.5
RB,Travaris Cadet,26.2,2.381818181818182,2.5
RB,Troymaine Pope,7.2,0.72,0.6
RB,Tyler Ervin,6.0,0.6,0.6
RB,Wendell Smallwood,31.3,2.8454545454545452,2.8
RB,Zach Line,17.6,1.6,1.9
RB,Zach Zenner,15.899999999999999,1.5899999999999999,2.9
TE,Anthony Fasano,13.5,1.35,1.4
TE,Antonio Gates,59.8,5.98,6.2
TE,Austin Hooper,22.6,2.26,2.3
TE,Austin Seferian-Jenkins,15.700000000000001,1.57,1.4
TE,Ben Koyack,0.52,0.04727272727272727,0.05
TE,Blake Bell,6.699999999999999,0.6699999999999999,0.6
TE,Brandon Bostick,0.29000000000000004,0.029,0.01
TE,Brandon Myers,9.3,0.8454545454545455,0.8
TE,Brandon Pettigrew,2.2,0.22,0.2
TE,Brent Celek,29.6,2.690909090909091,2.6
TE,C.J. Fiedorowicz,51.3,5.13,4.9
TE,C.J. Uzomah,17.3,1.73,1.3
TE,Cameron Brate,63.4,5.763636363636364,6.7
TE,Charles Clay,39.5,3.95,4.0
TE,Clay Harbor,3.3,0.33,0.4
TE,Clive Walford,32.1,3.21,3.1
TE,Coby Fleener,80.2,7.290909090909091,6.4
TE,Cole Wick,3.7,0.37,0.4
TE,Crockett Gillmore,29.4,2.94,3.0
TE,Daniel Fells,7.8,0.78,0.8
TE,Darren Fells,24.9,2.4899999999999998,2.3
TE,Darren Waller,0.52,0.052000000000000005,0.05
TE,David Johnson,4.1000000000000005,0.41000000000000003,0.4
TE,David Morgan,1.2000000000000002,0.1090909090909091,0.1
TE,Delanie Walker,75.2,7.52,7.6
TE,Demetrius Harris,12.5,1.1363636363636365,1.1
TE,Dennis Pitta,49.199999999999996,4.92,6.4
TE,Derek Carrier,12.8,1.28,1.4
TE,Dion Sims,14.7,1.47,1.4
TE,Dwayne Allen,28.6,3.1777777777777776,NA
TE,Ed Dickson,17.9,1.79,NA
TE,Eric Ebron,35.7,3.57,3.6
TE,Erik Swoope,6.8,0.68,2.1
TE,Garrett Celek,24.3,2.43,2.4
TE,Garrett Graham,0.45,0.045,0.04
TE,Gary Barnidge,70.7,7.07,6.9
TE,Gavin Escobar,6.3,0.63,NA
TE,Geoff Swaim,1.4000000000000001,0.14,NA
TE,Greg Olsen,99.4,9.94,NA
TE,Hunter Henry,62.4,6.24,7.4
TE,Jace Amaro,5.1,0.51,0.5
TE,Jack Doyle,46.8,4.68,7.4
TE,Jacob Tamme,40.9,4.09,4.2
TE,James Hanna,6.0,0.6,NA
TE,James O'Shaughnessy,1.8,0.16363636363636364,0.1
TE,Jared Cook,25.3,2.53,NA
TE,Jason Witten,42.6,4.26,NA
TE,Jeff Heuerman,11.200000000000001,1.12,1.0
TE,Jermaine Gresham,13.0,1.3,1.2
TE,Jesse James,47.4,4.74,3.3
TE,Jimmy Graham,74.4,6.763636363636364,6.3
TE,John Phillips,3.9000000000000004,0.39,0.3
