source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Daily Faceoff,2021-01-07 08:20:37.590158,ANA,LW/RW,Rickard Rakell,18.7,22.4,-3.2,9.6,157.1,71.6,25.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CHI,LW/RW,Alex DeBrincat,21.9,19.1,-1.0,13.1,153.2,33.5,17.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,D,Tyson Barrie,9.5,31.5,-6.5,16.5,145.8,34.8,64.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VAN,D,Quinn Hughes,6.4,34.5,-8.2,20.1,104.3,5.8,38.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DAL,C/LW,Jamie Benn,18.1,22.5,3.8,12.0,135.2,91.6,40.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NJD,LW/RW,Nikita Gusev,12.0,28.6,-6.4,11.4,145.9,11.1,6.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,EDM,RW,Kailer Yamamoto,13.4,27.0,35.3,2.1,89.3,91.3,26.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PTI,D,Kris Letang,10.0,30.4,1.1,12.7,166.0,89.4,85.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CHI,LW/RW,Dominik Kubalik,22.9,17.4,1.5,8.2,163.2,72.5,15.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ARI,RW,Phil Kessel,13.7,26.2,-8.2,14.9,121.4,8.7,15.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,C/RW,Nick Suzuki,14.7,25.1,-9.6,11.6,151.2,53.7,26.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,OTT,LW,Brady Tkachuk,18.7,21.0,-9.5,7.6,205.0,204.5,29.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,SJS,C,Logan Couture,17.8,21.9,0.6,10.6,141.0,41.6,46.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VGK,RW,Reilly Smith,16.5,23.2,16.1,7.8,134.1,35.3,22.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BOS,C,David Krejci,12.1,27.5,3.7,9.5,96.7,26.4,27.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WPG,LW/RW,Nikolaj Ehlers,17.9,21.8,5.8,6.8,150.0,27.3,18.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CGY,C/RW,Elias Lindholm,14.5,25.0,8.2,14.5,129.2,64.4,29.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NJD,C/LW,Jack Hughes,12.4,26.9,-10.3,10.2,154.7,11.3,19.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,OTT,D,Thomas Chabot,9.4,29.9,-11.9,10.3,152.3,61.6,80.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,C/RW,Sam Reinhart,15.8,23.3,-4.6,11.3,124.4,29.6,28.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PHI,RW,Travis Konecny,17.2,21.8,2.9,8.6,131.5,59.2,33.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PIT,LW/RW,Jason Zucker,16.9,22.2,-3.7,8.9,133.1,66.6,11.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CBJ,RW,Cam Atkinson,21.3,17.6,7.6,9.2,184.9,21.4,21.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,C/RW,Ryan Strome,12.6,26.3,8.0,10.4,122.7,45.1,29.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,SJS,C/LW,Tomas Hertl,16.8,22.1,-5.8,7.8,129.2,36.1,39.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VGK,C,William Karlsson,16.7,22.2,15.0,8.3,120.8,34.2,33.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,D,Morgan Rielly,7.4,31.5,7.1,14.6,151.8,42.3,76.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,SJS,LW,Evander Kane,19.1,19.5,-6.4,9.7,200.9,127.8,20.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VGK,C/RW,Cody Glass,11.6,26.9,7.1,9.0,115.9,27.4,11.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TBL,LW,Ondrej Palat,13.3,24.7,11.2,8.0,112.9,106.3,47.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYI,LW/RW,Josh Bailey,10.9,27.0,-3.5,11.4,96.0,15.5,29.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,LW,Chris Kreider,19.0,18.9,4.2,9.4,141.7,108.4,33.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYI,LW,Anders Lee,21.2,16.6,2.1,10.6,153.9,92.4,33.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NSH,LW/RW,Viktor Arvidsson,20.7,16.9,9.0,4.8,154.8,18.6,27.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYR,RW,Pavel Buchnevich,15.3,22.4,-3.0,10.6,118.7,56.2,22.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NJD,C,Nico Hischier,14.2,23.4,-1.6,6.7,129.0,43.8,33.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WSH,LW,Jakub Vrana,18.9,18.6,8.5,6.1,134.2,29.3,18.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,SJS,D,Brent Burns,13.8,23.7,-6.0,14.3,206.5,58.1,85.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DET,LW/RW,Tyler Bertuzzi,15.9,21.6,-5.5,6.8,111.7,65.1,34.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DAL,D,John Klingberg,6.9,30.5,1.6,12.8,110.5,28.9,69.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,COL,C,Nazem Kadri,17.7,19.5,1.9,10.9,151.7,68.9,13.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,C,Phillip Danault,9.3,28.0,12.9,3.0,98.1,79.8,36.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYI,RW,Jordan Eberle,16.4,20.8,0.0,8.5,131.4,32.6,28.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PHI,C,Kevin Hayes,16.2,20.9,0.6,5.9,126.0,44.1,20.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,RW,Brendan Gallagher,20.7,16.4,1.5,6.6,209.2,69.8,26.2,,,,,
