source,fetched_at,team,position,name,ranking_preseason,ranking_current,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Yahoo,2021-01-08 10:51:03.078557,Ott,"C,LW",Alex Galchenyuk,290.0,327.0,12.0,16.0,-8.0,8.0,111.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,RW,Garnet Hathaway,305.0,328.0,7.0,5.0,5.0,0.0,61.0,141.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,"C,RW",Leo Komarov,328.0,330.0,4.0,10.0,7.0,0.0,50.0,136.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,C,Derek Ryan,533.0,331.0,8.0,16.0,10.0,4.0,80.0,13.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,D,Justin Faulk,368.0,332.0,5.0,10.0,2.0,3.0,111.0,71.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,C,Joel Eriksson Ek,357.0,333.0,6.0,16.0,3.0,0.0,86.0,82.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,"LW,RW",Sammy Blais,639.0,334.0,6.0,7.0,-2.0,1.0,61.0,169.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,"LW,RW",Richard Panik,331.0,338.0,7.0,12.0,9.0,0.0,69.0,73.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,"LW,RW",Ryan Dzingel,307.0,339.0,12.0,15.0,3.0,6.0,74.0,27.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,"C,RW",Noel Acciari,347.0,340.0,12.0,5.0,3.0,0.0,74.0,104.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,C,Jesperi Kotkaniemi,374.0,341.0,9.0,17.0,-3.0,5.0,83.0,65.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"LW,RW",Pat Maroon,376.0,342.0,7.0,12.0,4.0,3.0,66.0,86.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,"LW,RW",Tyler Pitlick,540.0,344.0,7.0,9.0,7.0,0.0,65.0,98.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,"LW,RW",Chris Wagner,291.0,345.0,5.0,5.0,1.0,0.0,67.0,158.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Det,"LW,RW",Bobby Ryan,708.0,346.0,8.0,14.0,3.0,4.0,72.0,63.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,"LW,RW",Tyler Ennis,385.0,347.0,10.0,12.0,-4.0,6.0,95.0,63.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"LW,RW",Nick Cousins,506.0,348.0,7.0,12.0,2.0,2.0,91.0,72.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ott,LW,Tim Stuetzle,243.0,349.0,9.0,15.0,-7.0,8.0,114.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,"C,RW",Martin Necas,279.0,350.0,12.0,16.0,-3.0,7.0,71.0,50.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,D,David Savard,380.0,351.0,4.0,10.0,5.0,0.0,82.0,99.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,D,Brenden Dillon,345.0,352.0,1.0,10.0,7.0,0.0,47.0,143.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,D,Connor Murphy,378.0,353.0,4.0,10.0,4.0,0.0,83.0,103.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,"C,RW",Jack Roslovic,375.0,354.0,9.0,13.0,4.0,4.0,85.0,36.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,RW,Zack Kassian,325.0,355.0,10.0,12.0,-3.0,0.0,72.0,115.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,"C,RW",Andrew Shaw,282.0,356.0,8.0,12.0,-1.0,4.0,70.0,92.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,G,Andrei Vasilevskiy,8.0,12.0,,,,,,,,25.0,1076.0,0.921,2.53,3.0
Yahoo,2021-01-08 10:51:03.078557,Wpg,G,Connor Hellebuyck,16.0,16.0,,,,,,,,22.0,1186.0,0.923,2.59,3.0
