ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
142.2,Sam Bennett,C,FLO,74,14.7,0.32,0.42,0.74,0.09,2.89,1.54,0.30,0.07,0.04,,,(/),,,,1.27
143.3,Clayton Keller,"LW,RW",ARI,77,18.1,0.42,0.58,1.00,-0.04,2.72,0.23,0.28,0.23,0.03,,,(/),,,,2.24
144.4,Dylan Larkin,C,DET,72,20.5,0.35,0.57,0.92,-0.24,3.18,0.86,0.43,0.16,0.03,,,(/),,,,1.28
145.0,Troy Terry,RW,ANA,67,15.4,0.45,0.36,0.81,-0.08,2.80,0.07,0.36,0.09,0.03,,,(/),,,,-0.54
146.5,Jeff Petry,D,PIT,76,22.8,0.13,0.36,0.49,-0.10,1.87,1.90,1.27,0.13,0.02,,,(/),,,,-1.73
147.3,Lucas Raymond,RW,DET,82,18.2,0.28,0.46,0.74,-0.39,2.24,0.76,0.29,0.22,0.02,,,(/),,,,-2.54
147.9,Linus Ullmark,G,BOS,36,60.0,,,,,,,,,,0.02,0.50,0.913 (26.5/29.0),2.14,26.48,29.00,-0.56
148.6,Brock Boeser,RW,VAN,72,18.8,0.43,0.44,0.88,-0.02,2.85,0.56,0.30,0.35,0.05,,,(/),,,,4.35
148.6,Ryan Nugent-Hopkins,"C,LW",EDM,71,20.0,0.31,0.44,0.75,0.01,2.25,0.56,0.50,0.31,0.02,,,(/),,,,0.91
149.4,Valeri Nichushkin,"LW,RW",COL,76,15.5,0.29,0.45,0.74,0.25,1.81,0.41,0.35,0.05,0.04,,,(/),,,,-0.79
150.3,Jakob Chychrun,D,ARI,62,22.4,0.23,0.50,0.73,-0.11,3.18,1.39,1.79,0.11,0.02,,,(/),,,,2.20
150.7,David Perron,RW,DET,72,17.7,0.32,0.43,0.75,0.07,2.54,0.93,0.24,0.32,0.04,,,(/),,,,2.63
151.1,Michael Bunting,LW,TOR,79,14.9,0.28,0.44,0.72,0.15,2.06,0.63,0.13,0.04,0.01,,,(/),,,,-2.83
152.5,Matt Murray,G,BUF,47,60.0,,,,,,,,,,0.06,0.60,0.912 (23.6/25.9),2.78,23.59,25.87,-0.74
152.6,Neal Pionk,D,WPJ,74,21.9,0.07,0.45,0.51,0.09,1.76,2.41,1.35,0.19,0.01,,,(/),,,,-0.08
153.4,Bo Horvat,C,VAN,76,19.8,0.34,0.41,0.75,-0.07,2.32,1.13,0.64,0.28,0.03,,,(/),,,,1.85
155.2,Pavel Francouz,G,COL,33,60.0,,,,,,,,,,0.09,0.61,0.918 (25.7/28.0),2.48,25.70,28.00,2.55
155.5,Tyson Barrie,D,EDM,77,20.8,0.12,0.51,0.62,-0.01,2.12,0.45,1.03,0.27,0.01,,,(/),,,,-1.45
155.6,Elvis Merzlikins,G,CBJ,54,60.0,,,,,,,,,,0.03,0.52,0.910 (28.2/31.0),2.27,28.20,31.00,-0.74
156.2,Ryan Hartman,C,MIN,79,15.1,0.35,0.43,0.78,0.15,1.90,0.88,0.55,0.05,0.04,,,(/),,,,0.50
156.4,Ryan O'Reilly,C,STL,80,20.2,0.26,0.49,0.75,0.16,2.08,0.29,0.45,0.21,0.03,,,(/),,,,0.12
157.0,Vince Dunn,D,SEA,72,18.8,0.11,0.43,0.54,-0.06,1.76,0.74,0.88,0.20,0.01,,,(/),,,,-3.30
157.3,Victor Olofsson,RW,BUF,68,17.0,0.35,0.31,0.66,-0.19,2.38,0.16,0.19,0.18,0.04,,,(/),,,,-1.98
157.4,Vincent Trocheck,C,NYR,72,18.2,0.33,0.57,0.90,0.04,2.18,2.07,0.75,0.19,0.03,,,(/),,,,3.74
157.4,Semyon Varlamov,G,NYI,31,60.0,,,,,,,,,,0.09,0.52,0.916 (25.7/28.1),2.09,25.70,28.06,2.01
158.2,Tomas Hertl,C,SJS,73,19.2,0.37,0.48,0.85,-0.12,2.44,0.93,0.65,0.17,0.05,,,(/),,,,2.09
158.4,Nick Suzuki,C,MTL,82,18.6,0.30,0.52,0.83,-0.24,1.81,0.93,0.57,0.20,0.03,,,(/),,,,-0.71
158.7,Mathew Barzal,C,NYI,77,18.6,0.29,0.66,0.95,0.01,2.29,0.35,0.35,0.20,0.02,,,(/),,,,0.76
158.7,Jaccob Slavin,D,CAR,78,23.2,0.06,0.34,0.40,0.35,1.80,0.60,1.68,0.05,0.01,,,(/),,,,-2.35
159.2,Anton Lundell,C,FLO,73,15.7,0.25,0.37,0.62,0.45,2.14,0.36,0.77,0.05,0.05,,,(/),,,,1.44
