source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,CAR,RW,Andrei Svechnikov,21.54,28.92,-3.8,9.88,159.87,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,LW,Kevin Fiala,21.78,25.26,3.53,8.91,166.11,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,RW,William Nylander,25.77,24.09,-0.11,8.92,164.62,,,,,,,
CBS,2021-01-07 08:20:41.125491,CGY,C,Elias Lindholm,23.51,23.58,-0.41,9.59,130.11,,,,,,,
CBS,2021-01-07 08:20:41.125491,CGY,LW,Johnny Gaudreau,17.23,33.8,-0.76,10.0,164.37,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,RW,Kyle Palmieri,23.81,18.51,5.9,8.8,126.5,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYR,LW,Chris Kreider,23.03,19.21,7.37,6.79,133.65,,,,,,,
CBS,2021-01-07 08:20:41.125491,SJ,LW,Evander Kane,21.39,16.08,-0.28,8.8,186.94,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,LW,Andre Burakovsky,20.87,26.64,3.11,6.66,107.65,,,,,,,
CBS,2021-01-07 08:20:41.125491,CAR,LW,Teuvo Teravainen,13.61,35.54,0.71,9.45,154.78,,,,,,,
CBS,2021-01-07 08:20:41.125491,WPG,RW,Patrik Laine,22.51,24.74,-2.4,7.09,177.75,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,C,Travis Konecny,16.82,28.88,-0.92,9.34,117.84,,,,,,,
CBS,2021-01-07 08:20:41.125491,WPG,RW,Blake Wheeler,16.31,29.55,-3.77,9.72,129.91,,,,,,,
CBS,2021-01-07 08:20:41.125491,CHI,LW,Dominik Kubalik,26.32,14.93,3.31,7.1,116.42,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,C,Zach Hyman,23.14,18.27,8.26,3.84,125.67,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,LW,Jaden Schwartz,19.52,26.12,-3.72,8.26,143.77,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,LW,Brandon Saad,24.55,15.26,16.55,0.75,129.24,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,RW,Reilly Smith,21.22,24.14,2.04,4.15,169.88,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,RW,Jakub Voracek,11.17,32.08,1.14,8.74,111.79,,,,,,,
CBS,2021-01-07 08:20:41.125491,BUF,LW,Taylor Hall,13.16,28.57,0.83,8.66,159.77,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,RW,Brock Boeser,16.16,26.71,0.88,7.23,131.37,,,,,,,
CBS,2021-01-07 08:20:41.125491,PIT,LW,Jason Zucker,20.35,19.2,6.05,5.87,108.9,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,LW,Nikita Gusev,12.74,29.49,5.9,7.94,126.0,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,LW,Tyler Ennis,16.29,21.39,11.77,5.94,113.98,,,,,,,
CBS,2021-01-07 08:20:41.125491,MON,LW,Tomas Tatar,15.78,25.85,-2.72,7.42,132.13,,,,,,,
CBS,2021-01-07 08:20:41.125491,WPG,LW,Nikolaj Ehlers,20.01,22.16,2.2,2.54,152.39,,,,,,,
CBS,2021-01-07 08:20:41.125491,CLB,RW,Oliver Bjorkstrand,23.29,15.32,3.62,5.17,188.71,,,,,,,
CBS,2021-01-07 08:20:41.125491,NSH,C,Filip Forsberg,18.04,20.57,0.33,7.56,195.82,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,RW,Kailer Yamamoto,17.3,26.56,-0.55,1.89,81.34,,,,,,,
CBS,2021-01-07 08:20:41.125491,BUF,RW,Victor Olofsson,18.02,19.85,0.83,10.04,115.16,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,LW,Zach Parise,19.76,18.43,0.84,7.9,128.69,,,,,,,
CBS,2021-01-07 08:20:41.125491,FLA,LW,Anthony Duclair,21.23,15.9,4.57,5.52,142.29,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,C,Jonathan Marchessault,17.52,22.35,-1.29,6.04,241.97,,,,,,,
