name,team,position,pick
Nicklas Backstrom,Was,C,115.9
Thomas Chabot,Ott,D,116.2
Logan Couture,SJ,C,116.8
Adam Fox,NYR,D,116.8
Jamie Benn,Dal,"C,LW",117.3
Juuse Saros,Nsh,G,119.4
Mark Giordano,Cgy,D,119.6
Alexander Radulov,Dal,"LW,RW",121.2
Ben Bishop,Dal,G,121.8
Ryan Pulock,NYI,D,122.2
Ryan Ellis,Nsh,D,123.1
Jaroslav Halak,Bos,G,124.3
David Perron,StL,"LW,RW",125.1
Keith Yandle,Fla,D,125.3
Joonas Korpisalo,Cls,G,127.2
Mikhail Sergachev,TB,D,127.9
Rasmus Ristolainen,Buf,D,129.2
Dylan Larkin,Det,C,129.4
Dominik Kubalik,Chi,"LW,RW",129.7
Sergei Bobrovsky,Fla,G,130.6
Aaron Ekblad,Fla,D,130.8
Sam Reinhart,Buf,"C,RW",130.9
Alexis Lafreniere,NYR,LW,131.3
Victor Olofsson,Buf,"LW,RW",131.3
Chris Kreider,NYR,LW,132.6
Ryan Strome,NYR,"C,RW",134.1
Drew Doughty,LA,D,134.3
Colton Parayko,StL,D,134.4
Darnell Nurse,Edm,D,136.0
Anze Kopitar,LA,C,136.2
Jacob Trouba,NYR,D,136.2
Tomas Hertl,SJ,"C,LW",136.7
Ryan Suter,Min,D,138.8
Nazem Kadri,Col,C,139.2
Sean Monahan,Cgy,C,142.9
Matt Dumba,Min,D,144.4
Bo Horvat,Van,C,146.1
Jonathan Toews,Chi,C,148.7
Ryan Graves,Col,D,148.8
Kirill Kaprizov,Min,LW,149.2
T.J. Oshie,Was,RW,150.3
Reilly Smith,VGK,RW,150.6
Patric Hornqvist,Fla,RW,151.2
Blake Coleman,TB,"LW,RW",151.6
Nate Schmidt,Van,D,151.9
Jaden Schwartz,StL,LW,152.4
Tomas Tatar,Mon,"LW,RW",152.7
Matt Duchene,Nsh,"C,RW",153.0
Jaccob Slavin,Car,D,153.6
Jack Hughes,NJ,"C,LW",155.0
John Gibson,Anh,G,156.1
Semyon Varlamov,NYI,G,156.8
Viktor Arvidsson,Nsh,"LW,RW",157.3
Nico Hischier,NJ,C,157.3
Jake Muzzin,Tor,D,157.9
Zdeno Chara,Was,D,158.0
Cam Atkinson,Cls,RW,158.5
Nikolaj Ehlers,Wpg,"LW,RW",158.5
Thatcher Demko,Van,G,158.5
Kirby Dach,Chi,C,160.0
Kevin Shattenkirk,Anh,D,160.1
Max Domi,Cls,"C,LW",160.2
Anthony Mantha,Det,"LW,RW",160.5
Ondrej Palat,TB,LW,160.7
Vladimir Tarasenko,StL,RW,160.8
Quinton Byfield,LA,C,160.8
Bryan Rust,Pit,"LW,RW",160.9
Jonathan Quick,LA,G,161.5
Tyler Seguin,Dal,"C,RW",161.8
Jared Spurgeon,Min,D,162.1
Pekka Rinne,Nsh,G,162.1
Nicholas Robertson,Tor,LW,162.2
Erik Cernak,TB,D,162.6
Craig Smith,Bos,RW,162.7
Thomas Greiss,Det,G,163.0
Joe Pavelski,Dal,"C,RW",163.1
Tim Stuetzle,Ott,LW,163.2
Malcolm Subban,Chi,G,163.2
James van Riemsdyk,Phi,LW,163.4
David Rittich,Cgy,G,163.5
Jakub Voracek,Phi,RW,163.6
Kaapo Kakko,NYR,RW,163.9
Ryan Reaves,VGK,RW,164.1
Jake Allen,Mon,G,164.1
Jake DeBrusk,Bos,"LW,RW",164.1
Phil Kessel,Ari,RW,164.2
Brandon Saad,Col,"LW,RW",164.3
Nick Suzuki,Mon,"C,RW",164.4
Filip Hronek,Det,D,164.4
Charlie Coyle,Bos,"C,RW",164.5
