position,name,low,mid,high,n
WR,Cody Latimer,0.0,0.6,0.8,4
K,Cody Parkey,6.0,6.5,7.0,3
WR,Cole Beasley,5.8,7.7,11.3,4
TE,Cole Wick,0.3,0.3,0.3,2
QB,Colt McCoy,0.0,0.7,2.3,4
K,Connor Barth,1.0,4.1,5.8,3
WR,Cordarrelle Patterson,1.4,3.5,4.6,4
WR,Corey Brown,3.2,3.3,3.4,2
WR,Corey Coleman,0.0,4.0,10.6,4
WR,Corey Fuller,0.0,0.2,0.6,3
RB,Corey Grant,-0.0,0.0,0.2,4
WR,Corey Washington,0.0,0.0,0.0,2
RB,D.J. Foster,0.0,0.6,1.4,4
QB,Dak Prescott,10.8,14.1,16.4,4
DEF,Dallas Cowboys,0.0,4.3,7.0,3
K,Dan Bailey,2.0,5.5,7.4,3
K,Dan Carpenter,1.0,3.7,6.5,4
QB,Dan Orlovsky,0.0,0.4,1.3,4
WR,Daniel Braverman,0.0,0.0,0.0,3
WR,Daniel Brown,0.0,0.0,0.0,2
RB,Daniel Lasco,0.0,0.3,0.8,4
WR,Danny Amendola,1.6,3.0,3.7,4
RB,Danny Woodhead,0.0,0.0,0.0,2
RB,Darius Jackson,0.0,0.2,0.4,4
WR,Darius Jennings,0.0,0.0,0.0,3
TE,Darren Fells,1.2,1.7,2.1,4
RB,Darren McFadden,0.0,0.0,0.0,3
RB,Darren Sproles,3.7,5.1,5.8,4
RB,Darrin Reaves,0.0,0.0,0.0,2
WR,Davante Adams,5.7,6.8,8.2,4
RB,David Cobb,0.0,0.0,0.0,3
RB,David Johnson,16.0,16.8,17.8,4
WR,De'Anthony Thomas,0.0,1.1,1.9,4
WR,DeAndre Hopkins,10.0,11.2,12.3,4
RB,DeAndre Washington,2.9,5.5,9.6,4
TE,Delanie Walker,6.0,7.9,11.7,4
RB,DeMarco Murray,13.3,16.3,20.5,4
WR,Demarcus Robinson,0.0,0.1,0.4,3
WR,Demaryius Thomas,9.0,10.4,12.9,4
TE,Demetrius Harris,1.0,1.4,1.9,4
RB,Denard Robinson,0.0,0.6,1.0,4
DEF,Denver Broncos,4.0,7.7,10.5,3
WR,Deonte Thompson,0.0,0.6,1.1,4
QB,Derek Anderson,0.0,0.4,1.0,4
QB,Derek Carr,13.8,15.9,17.6,4
RB,Derek Watt,0.0,0.2,0.3,2
RB,Derrick Henry,1.9,3.0,3.9,4
WR,DeSean Jackson,4.7,7.0,8.2,4
DEF,Detroit Lions,6.3,7.6,10.0,3
WR,Devin Funchess,3.2,3.6,4.2,4
WR,Devin Lucien,0.0,0.0,0.0,3
WR,Devin Smith,0.0,0.2,0.5,3
WR,Devin Street,0.0,0.6,1.1,4
RB,Devon Johnson,0.0,0.0,0.0,2
RB,Devonta Freeman,12.5,14.1,15.8,4
RB,Devontae Booker,2.8,6.3,8.5,4
RB,Dexter McCluster,1.6,2.0,2.5,4
WR,Dez Bryant,9.3,10.0,11.8,4
WR,Dezmin Lewis,0.0,0.0,0.0,2
RB,Dion Lewis,0.0,0.0,0.0,3
WR,Dom Williams,0.0,0.0,0.0,2
RB,Don Jackson,0.0,1.7,2.7,4
WR,Donte Moncrief,3.6,4.8,6.4,4
WR,Donteea Dye,0.0,0.0,0.0,2
WR,Dontrelle Inman,2.6,3.6,4.3,4
WR,Dorial Green-Beckham,4.4,4.9,5.8,3
WR,Doug Baldwin,10.0,10.9,12.8,4
RB,Doug Martin,0.0,0.0,0.0,3
QB,Drew Brees,14.5,16.4,17.5,4
QB,Drew Stanton,-0.2,0.0,0.3,4
RB,Dri Archer,0.0,0.0,0.0,3
RB,Duke Johnson,5.2,5.6,6.0,3
K,Dustin Hopkins,7.3,7.7,8.0,3
RB,Dwayne Washington,2.1,4.0,5.6,4
QB,E.J. Manuel,0.1,0.2,0.3,2
TE,Ed Dickson,0.6,2.7,7.1,4
RB,Eddie Lacy,0.0,0.0,0.0,2
WR,Eddie Royal,3.5,4.5,5.2,3
QB,EJ Manuel,0.0,0.2,0.5,2
WR,Emmanuel Sanders,6.4,9.0,10.0,4
WR,Eric Decker,0.0,0.0,0.0,2
TE,Eric Ebron,3.3,4.2,5.1,2
WR,Eric Weems,0.0,0.1,0.2,4
TE,Erik Swoope,1.4,2.1,2.4,4
RB,Ezekiel Elliott,15.1,16.8,20.2,4
RB,Fozzy Whittaker,2.5,2.9,3.3,4
RB,Frank Gore,8.2,10.3,11.4,4
WR,Frankie Hammond,0.0,0.0,0.1,3
WR,Freddie Martino,0.0,0.1,0.2,2
TE,Garrett Graham,0.0,0.0,0.1,2
TE,Gary Barnidge,5.8,7.6,11.0,4
TE,Gavin Escobar,0.5,0.5,0.5,2
TE,Geoff Swaim,0.1,0.6,1.0,3
RB,George Atkinson,-0.0,0.3,0.5,3
WR,Geronimo Allison,0.0,0.0,0.0,2
RB,Giovani Bernard,6.3,8.8,10.1,4
RB,Glenn Gronkowski,0.0,0.0,0.0,3
RB,Glenn Winston,0.0,0.0,0.0,3
WR,Golden Tate,5.7,7.3,8.0,4
K,Graham Gano,4.0,6.2,7.9,3
DEF,Green Bay Packers,4.0,4.9,6.5,3
WR,Greg Little,0.0,0.0,0.0,2
TE,Greg Olsen,8.4,9.6,12.9,4
WR,Greg Salas,0.0,0.0,0.0,2
WR,Griff Whalen,0.6,0.8,0.9,4
WR,Harry Douglas,0.0,1.0,2.0,4
DEF,Houston Texans,6.0,6.5,7.3,3
TE,Hunter Henry,3.9,4.3,4.8,5
TE,Ifeanyi Momah,0.2,0.6,1.1,2
DEF,Indianapolis Colts,2.0,4.0,6.6,3
WR,Isaiah Burse,0.0,0.2,0.6,4
RB,Isaiah Crowell,6.9,8.3,9.5,5
WR,J.D. McKissic,0.0,0.0,0.0,2
WR,J.J. Nelson,3.2,5.0,9.3,4
TE,Jace Amaro,0.4,0.6,0.7,2
WR,Jace Billingsley,0.0,0.0,0.0,2
TE,Jack Doyle,6.0,7.2,9.1,4
DEF,Jacksonville Jaguars,3.8,5.5,6.8,3
TE,Jacob Tamme,3.8,5.4,9.0,4
