score,round,arbitrage,adp,my_rank,name,position,multi,position_rank,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts
0.8167748216263314,15.0,47.0,140.0,93.0,Ryan Pulock,D,D,32.0,0.16675554169489892,0.16556933702172016,0.5523786490478643,0.26993203405147825,0.4114624152998512,0.447741796962764,0.4716652130101503,,,,,
0.8161907968567186,9.8,-6.0,88.0,94.0,Tyson Barrie,D,D,33.0,0.17034652986787574,0.4666184871165235,0.30406543360042476,0.6784778153185805,0.34335059078617164,0.11444521267658093,0.4017888851567947,,,,,
0.8161753824340877,9.0,-15.0,80.0,95.0,Mikael Granlund,C,C/RW,22.0,0.3356252582448837,0.5002864327112261,0.6979589880470103,0.4815003850647991,0.3891306695576612,0.2047966963686185,0.22418655186284922,,,,,
0.8161676301671209,,,,96.0,Justin Schultz,D,D,34.0,0.026380549478534847,0.23482911081653687,0.8753649342784618,0.3720684793682538,0.17251273585841795,0.15861704914824373,0.4949573222946022,,,,,
0.8157982631307342,5.2,-55.0,42.0,97.0,Mark Scheifele,C,C,23.0,0.529631892005706,0.48678077682123677,0.8554337459107555,0.47420492468502945,0.3187856704697626,0.2047966963686185,0.15139871034893712,,,,,
0.8145674199495883,19.4,86.0,184.0,98.0,Kyle Palmieri,RW,RW,15.0,0.4569260405554363,0.19315781358332215,0.3888877951560787,0.5033867662041082,0.4639420177939978,0.41963244648079673,0.20671746989951031,,,,,
0.8142825153142942,10.0,-9.0,90.0,99.0,Wayne Simmonds,RW,RW,16.0,0.3990038676874216,0.1706483871000067,0.3302882643791353,0.45961400392549,0.42151170088383677,0.5762416848803286,0.21254049722062326,,,,,
0.8142203572877038,,,,100.0,Zach Werenski,D,D,35.0,0.19329154520689598,0.20420089973838457,0.6295775606748562,0.3574775586087144,0.4326775737549317,0.17066391364051542,0.4803997539918197,,,,,
0.8137588534788374,18.3,72.0,173.0,101.0,Mats Zuccarello,RW,RW,17.0,0.24062729839613506,0.371809552321841,0.434169250756444,0.4523185435457204,0.3277183687666387,0.2730622618248247,0.30279742069787424,,,,,
0.8135133782063418,9.5,-17.0,85.0,102.0,Dougie Hamilton,D,D,36.0,0.22234590406098065,0.2618019449444071,0.36174647643415586,0.32100025670986604,0.5499192389014294,0.28510912631709634,0.4833112676523762,,,,,
