team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Chi,23.0,Alex DeBrincat,1.0,1.0,"LW,RW",RW,41.3,1.2,33.6,6.0,8.0,2.0,3.0,35.655,35.125,19.24,223.69,79.5,29.7,6.8,,,,
Col,28.0,Gabriel Landeskog,1.0,1.0,"C,LW",LW,42.4,1.0,35.2,7.0,7.0,0.0,3.0,29.755,42.395,17.575,241.155,116.0,46.1,4.6,,,,
Bos,36.0,Patrice Bergeron,1.0,1.0,C,C,42.6,-0.4,35.7,8.0,11.0,3.0,3.0,35.095,36.945,17.215,283.195,54.1,53.5,4.9,,,,
VGK,32.0,Max Pacioretty,1.0,1.0,LW,LW,45.3,3.9,36.1,5.0,8.0,3.0,4.0,36.175,37.955,15.925,323.395,79.5,34.7,5.9,,,,
Cgy,23.0,Matthew Tkachuk,1.0,1.0,"LW,RW",RW,39.5,-0.6,36.2,9.0,9.0,0.0,4.0,26.995,42.2,17.65,219.56,151.7,18.5,3.7,,,,
NYR,25.0,Igor Shesterkin,,,G,G,75.0,5.5,38.3,7.0,5.0,-2.0,4.0,,,,,,,,33.615,0.911,1719.41,3.87
Tor,31.0,John Tavares,2.0,1.0,C,C,40.9,-2.1,39.8,10.5,12.0,1.5,4.0,32.275,41.51,17.17,260.495,57.8,41.3,5.1,,,,
Wpg,28.0,Mark Scheifele,1.0,1.0,C,C,40.9,-2.1,40.7,10.5,13.0,2.5,4.0,33.53,52.77,18.43,183.885,46.1,53.5,5.7,,,,
VGK,29.0,Mark Stone,1.0,1.0,RW,RW,40.6,0.5,42.4,7.0,10.0,3.0,4.0,29.015,51.635,18.97,191.745,57.7,54.0,5.6,,,,
Chi,,Marc-Andre Fleury,,,G,G,74.7,5.2,43.1,8.0,6.0,-2.0,4.0,,,,,,,,31.315,0.911,1781.69,4.62
Car,32.0,Frederik Andersen,,,G,G,56.2,-13.3,43.6,23.0,7.0,-16.0,4.0,,,,,,,,31.845,0.906,1608.73,3.415
NJ,28.0,Dougie Hamilton,1.0,1.0,D,D,40.3,8.3,43.7,5.0,5.0,0.0,4.0,17.58,36.69,14.475,282.7,106.4,91.4,3.2,,,,
Van,21.0,Quinn Hughes,1.0,1.0,D,D,29.2,-2.9,45.0,33.0,6.0,-27.0,4.0,6.915,53.575,21.37,142.875,29.1,68.8,1.2,,,,
Van,22.0,Elias Pettersson,1.0,1.0,C,C,35.4,-7.6,46.9,20.5,14.0,-6.5,4.0,30.165,39.925,16.995,173.755,55.2,44.1,5.0,,,,
NYI,33.0,Semyon Varlamov,,,G,G,71.5,2.1,47.1,9.0,8.0,-1.0,4.0,,,,,,,,29.22,0.912,1594.275,4.055
