Goals,TRUE,,,,,,,,,2021-22 Fantasy Hockey Customizable Rankings,,,,,,,,,,,,,,,,,,,,,,
Assists,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,FALSE,,,,,,,,,Starting Goalies,,,https://www.dailyfaceoff.com/starting-goalies/,,,,,,,,,,,,,,,,,,,
Plus/Minus,TRUE,,,,,,,,,Projected Lines,,,https://www.dailyfaceoff.com/teams/,,,,,,,,,,,,,,,,,,,
PIM,FALSE,,,,,,,,,Player News,,,https://www.dailyfaceoff.com/hockey-player-news/,,,,,,,,,,,,,,,,,,,
PPG,FALSE,,,,,,,,,DFO Podcast,,,https://soundcloud.com/dailyfaceoff-podcast,,,,,,,,,,,,,,,,,,,
PPA,FALSE,,,,,,,,,,Twitter,,https://twitter.com/DailyFaceoff,,,,,,,,,,,,,,,,,,,
PPP,TRUE,,,,,,,,,,,Instagram,https://www.instagram.com/dailyfaceoff/,,,,,,,,,,,,,,,,,,,
GWG,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOG,TRUE,,Step 1:,File > Make a Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOI,FALSE,,Step 2:,Check off all scoring categories for your league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,FALSE,,Step 3:,Check off which site you use for correct Position Eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,FALSE,,Step 4:,"Sort by ""SCORE"" for rankings customized to your league settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players,TEAM,Pos,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Drew Doughty,LAK,D,32,82.0,9.6,36.2,45.8,0.2,44.1,2.5,7.1,15.9,23.0,1.1,157.2,26.3,116.0,146.0,0.773,1.213,,-0.170,,,,2.062,,0.564,,,,4.527
John Klingberg,DAL,D,29,75.2,9.7,37.2,46.9,-3.6,25.2,5.9,3.8,18.1,21.9,2.2,156.2,22.6,82.7,56.8,0.801,1.310,,-0.679,,,,1.917,,0.541,,,,4.230
PK Subban,NJD,D,32,75.6,7.5,16.3,23.7,-7.9,59.6,5.7,1.8,4.3,6.1,1.5,155.7,20.9,83.5,81.7,0.178,-0.721,,-1.255,,,,-0.157,,0.529,,,,-0.799
Quinn Hughes,VAN,D,22,80.6,7.1,54.3,61.4,-9.1,31.2,5.1,2.0,25.8,27.7,1.2,155.4,23.2,68.8,29.1,0.064,2.973,,-1.416,,,,2.679,,0.522,,,,5.530
Noah Hanifin,CGY,D,25,78.2,6.8,27.0,33.8,1.3,20.3,5.4,1.4,9.2,10.6,1.1,152.6,22.1,87.6,77.7,-0.021,0.319,,-0.023,,,,0.434,,0.456,,,,1.176
Tyler Myers,VAN,D,31,80.2,7.9,18.7,26.6,-7.3,63.9,7.6,0.3,5.0,5.3,1.8,151.5,21.2,110.3,96.7,0.291,-0.488,,-1.174,,,,-0.262,,0.430,,,,-0.616
Filip Hronek,DET,D,24,77.6,7.4,29.7,37.1,-16.4,41.0,6.4,1.0,10.4,11.4,0.5,151.3,23.2,77.2,110.2,0.149,0.581,,-2.393,,,,0.539,,0.425,,,,0.498
Ryan Ellis,PHI,D,31,72.0,9.4,32.4,41.8,5.7,20.0,7.2,2.2,5.8,8.0,1.7,149.8,23.6,134.2,56.5,0.716,0.844,,0.567,,,,0.092,,0.390,,,,2.325
Ryan Graves,NJD,D,26,77.7,7.5,18.7,26.2,6.7,54.5,7.5,0.0,0.0,0.0,0.5,148.5,19.6,152.9,119.5,0.178,-0.488,,0.700,,,,-0.958,,0.359,,,,-0.559
Rasmus Andersson,CGY,D,25,81.2,6.3,22.9,29.2,-6.5,54.6,5.5,0.9,6.0,6.8,0.5,148.2,21.5,99.8,66.1,-0.162,-0.080,,-1.067,,,,-0.065,,0.352,,,,-0.489
