Players,TEAM,Pos,FanTrax,Yahoo,ESPN,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
John Tavares,TOR,C,C,C,C,31,80.5,32.5,41.1,73.6,8.3,28.4,24.2,8.3,11.3,19.5,5.1,245.1,18.6,41.3,57.8,1.622,1.166,,1.017,,,,1.018,1.308,1.712,,0.531,-0.438,7.427
Kirill Kaprizov,MIN,LW/RW,LW,LW/RW,LW,24,80.3,37.2,35.7,72.9,8.8,25.7,26.3,10.9,8.1,19.0,5.0,232.5,18.8,28.2,46.3,2.231,0.715,,1.084,,,,0.959,1.243,1.452,,-0.517,-0.678,5.945
Mark Scheifele,WPG,C,C,C,C,28,82.0,33.0,51.7,84.7,1.2,32.9,23.3,9.7,13.2,22.9,5.7,189.3,21.3,53.5,46.1,1.687,2.050,,0.070,,,,1.420,1.698,0.560,,1.507,-0.683,8.274
Mark Stone,VGK,RW,RW,RW,RW,29,78.8,27.9,50.0,77.9,17.3,34.6,20.2,7.7,14.8,22.5,5.6,174.4,19.2,54.0,57.7,1.027,1.908,,2.218,,,,1.373,1.633,0.253,,1.547,-0.440,8.409
Kyle Connor,WPG,LW,LW,LW,LW,25,82.0,38.3,35.5,73.8,-0.9,23.5,27.3,11.1,7.5,18.5,6.6,245.8,19.6,24.8,23.9,2.373,0.698,,-0.210,,,,0.900,2.282,1.726,,-0.789,-1.147,5.938
Andrei Svechnikov,CAR,LW/RW,LW/RW,LW/RW,LW,21,80.7,26.4,42.2,68.6,5.8,65.9,20.1,6.3,17.3,23.6,4.0,226.6,18.0,31.4,159.0,0.832,1.257,,0.684,,,,1.503,0.593,1.330,,-0.261,1.681,7.278
Max Pacioretty,VGK,LW,LW,LW,LW,33,72.6,31.1,32.8,63.9,8.1,35.6,23.4,7.8,9.4,17.1,5.9,260.2,17.8,34.7,79.5,1.441,0.473,,0.991,,,,0.734,1.828,2.024,,0.003,0.017,7.014
Matthew Tkachuk,CGY,LW/RW,LW,LW/RW,LW,24,80.4,28.0,42.8,70.8,3.9,70.3,20.2,7.8,15.2,23.0,3.7,218.9,18.4,18.5,151.7,1.039,1.307,,0.430,,,,1.432,0.398,1.171,,-1.293,1.528,5.799
Gabriel Landeskog,COL,C/LW,LW,C/LW,LW,29,75.5,28.6,38.8,67.4,11.4,49.8,18.5,10.2,11.8,22.0,4.6,211.3,20.1,46.1,116.0,1.117,0.974,,1.431,,,,1.314,0.983,1.014,,0.915,0.781,7.813
Elias Lindholm,CGY,C/RW,C/RW,C/RW,RW,27,82.0,29.3,40.1,69.4,6.8,26.7,20.3,9.0,14.9,23.9,5.7,190.8,19.9,45.6,87.7,1.208,1.082,,0.817,,,,1.539,1.698,0.591,,0.875,0.188,7.589
Ryan O'Reilly,STL,C,C,C,C,30,82.0,25.6,48.6,74.2,13.1,17.9,20.7,4.9,14.5,19.3,4.4,185.4,20.7,39.9,30.5,0.729,1.791,,1.658,,,,0.994,0.853,0.480,,0.419,-1.009,5.085
Jonathan Marchessault,VGK,C/LW,LW,C/LW,LW,31,80.0,25.5,35.8,61.2,11.9,43.9,19.7,5.8,8.1,13.9,4.7,264.4,17.6,20.5,86.9,0.716,0.723,,1.498,,,,0.355,1.048,2.110,,-1.133,0.172,4.740
Johnny Gaudreau,CGY,LW/RW,LW,LW/RW,LW,28,82.0,25.5,46.3,71.8,-1.6,15.4,16.8,8.7,16.3,25.0,4.3,201.8,18.7,14.0,10.5,0.716,1.599,,-0.304,,,,1.669,0.788,0.818,,-1.653,-1.428,2.357
Ryan Nugent-Hopkins,EDM,C/LW,C/LW,C/LW,C,28,79.1,26.0,38.9,64.9,-1.2,32.4,15.8,10.2,18.6,28.8,3.8,204.1,20.5,44.2,47.1,0.781,0.982,,-0.250,,,,2.119,0.463,0.866,,0.763,-0.662,5.186
Kevin Fiala,MIN,LW/RW,LW/RW,LW/RW,C,25,79.1,28.3,35.0,63.2,-0.1,52.1,18.6,9.7,12.3,22.0,5.6,234.5,16.7,22.6,41.3,1.078,0.657,,-0.103,,,,1.314,1.633,1.493,,-0.965,-0.783,4.374
Sean Couturier,PHI,C,C,C,C,29,79.8,29.2,41.1,70.3,7.8,27.1,23.0,6.2,9.8,16.0,4.8,210.8,20.2,40.2,59.9,1.195,1.166,,0.951,,,,0.604,1.113,1.004,,0.443,-0.394,5.605
Elias Pettersson,VAN,C,C,C,C,23,75.3,29.7,40.4,70.0,4.8,18.2,20.7,9.0,12.5,21.5,5.0,174.3,18.7,44.1,55.2,1.260,1.107,,0.550,,,,1.255,1.243,0.250,,0.755,-0.492,5.652
J.T. Miller,VAN,C/LW,C/LW,C/LW,C,28,79.9,24.4,45.1,69.4,0.8,53.6,17.9,6.5,19.6,26.1,3.6,167.0,20.1,38.0,130.8,0.573,1.499,,0.017,,,,1.799,0.333,0.100,,0.267,1.091,5.671
Anze Kopitar,LAK,C,C,C,C,34,82.0,23.4,48.0,71.4,-2.0,22.8,18.3,5.1,21.7,26.8,4.1,166.4,21.5,57.6,58.3,0.444,1.741,,-0.357,,,,1.882,0.658,0.087,,1.835,-0.427,6.042
Tyler Seguin,DAL,C/RW,C/RW,C/RW,C,30,74.7,24.5,31.4,56.0,7.2,22.1,17.6,6.9,10.9,17.8,5.3,245.5,17.1,32.7,65.5,0.586,0.356,,0.871,,,,0.817,1.438,1.720,,-0.157,-0.276,4.919
Blake Wheeler,WPG,C/RW,RW,C/RW,RW,35,80.0,21.3,49.3,70.6,-4.1,52.4,17.4,3.9,21.1,25.0,2.9,187.5,18.4,47.0,90.2,0.172,1.850,,-0.637,,,,1.669,-0.121,0.523,,0.987,0.241,5.001
Mathew Barzal,NYI,C,C,C,C,24,82.0,22.8,48.1,71.0,5.3,50.5,19.5,3.4,12.9,16.3,3.4,198.0,19.3,37.9,31.4,0.366,1.750,,0.617,,,,0.639,0.203,0.740,,0.259,-0.990,3.275
William Nylander,TOR,LW/RW,RW,LW/RW,RW,25,79.0,27.1,36.2,63.3,9.1,19.6,20.0,7.1,8.9,16.0,5.9,208.3,17.6,20.9,19.9,0.923,0.757,,1.124,,,,0.604,1.828,0.952,,-1.101,-1.231,3.293
Patrik Laine,CBJ,LW/RW,LW/RW,LW/RW,RW,23,81.0,33.1,27.0,60.0,-10.4,32.8,19.5,13.6,8.7,22.3,3.8,230.3,17.5,39.7,80.3,1.700,-0.011,,-1.478,,,,1.349,0.463,1.406,,0.403,0.033,4.605
David Perron,STL,LW/RW,LW/RW,LW/RW,RW,33,76.1,24.3,40.6,64.8,2.2,48.6,16.2,8.1,15.9,23.9,4.0,179.7,18.3,25.7,64.2,0.560,1.124,,0.203,,,,1.539,0.593,0.362,,-0.717,-0.304,3.259
Taylor Hall,BOS,LW,LW,LW,LW,30,75.5,20.5,41.0,61.5,0.1,33.4,15.4,5.2,15.2,20.4,3.4,227.4,18.3,32.0,53.2,0.068,1.157,,-0.077,,,,1.124,0.203,1.346,,-0.213,-0.534,3.114
Bryan Rust,PIT,LW/RW,RW,LW/RW,RW,29,75.9,30.5,30.2,60.7,10.4,34.8,23.0,7.5,8.1,15.6,5.5,200.6,19.8,48.7,98.8,1.363,0.256,,1.298,,,,0.556,1.568,0.793,,1.123,0.421,6.729
Brock Boeser,VAN,RW,RW,RW,RW,24,75.2,28.1,35.1,63.2,-1.4,22.7,19.7,8.4,10.0,18.4,3.7,208.8,19.1,26.0,38.4,1.052,0.665,,-0.277,,,,0.888,0.398,0.963,,-0.693,-0.844,2.290
Jakub Vrana,DET,LW,LW/RW,LW,C,25,79.5,31.8,32.6,64.4,7.2,26.3,30.4,1.5,10.0,11.4,6.0,207.2,17.5,24.1,51.0,1.531,0.456,,0.871,,,,0.059,1.893,0.930,,-0.845,-0.580,3.879
Roope Hintz,DAL,C/LW,C/LW,C/LW,C,25,72.0,24.5,35.7,60.1,6.8,17.9,17.0,7.5,16.2,23.7,4.0,169.4,18.4,34.3,98.9,0.586,0.715,,0.817,,,,1.515,0.593,0.149,,-0.029,0.423,4.361
