team,name,position,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Car,Martin Necas,"C,RW",21.135,33.18,10.445,157.155,77.3,39.3,3.7,,,,
Tor,William Nylander,"LW,RW",31.23,36.28,14.29,226.375,19.9,20.9,5.9,,,,
StL,David Perron,"LW,RW",26.935,42.875,20.225,191.845,64.2,25.7,4.0,,,,
Van,Thatcher Demko,G,,,,,,,,28.955,0.909,1782.26,3.49
LA,Drew Doughty,D,9.89,35.585,17.815,153.455,146.0,116.0,1.1,,,,
Chi,Kevin Lankinen,G,,,,,,,,9.325,0.908,549.785,1.145
Mon,Cole Caufield,RW,27.145,28.405,8.425,220.77,31.4,10.5,5.3,,,,
Dal,Joe Pavelski,"C,RW",29.805,28.925,16.15,182.25,81.7,57.2,4.4,,,,
NJ,MacKenzie Blackwood,G,,,,,,,,33.05,0.903,2044.84,4.14
Mon,Jeff Petry,D,14.26,37.33,14.335,184.505,178.4,113.1,2.6,,,,
Wpg,Neal Pionk,D,6.065,42.435,18.115,169.715,180.4,98.8,0.8,,,,
Dal,John Klingberg,D,10.775,42.19,17.67,163.545,56.8,82.7,2.2,,,,
StL,Brayden Schenn,"C,RW",24.875,33.17,13.235,160.315,137.4,36.0,4.2,,,,
Pit,Evgeni Malkin,C,20.8,44.52,17.03,158.175,34.3,21.1,3.0,,,,
Pit,Bryan Rust,"LW,RW",34.89,33.42,14.745,218.54,98.8,48.7,5.5,,,,
Fla,Sam Bennett,"C,LW",21.115,24.68,5.27,200.72,174.1,30.8,3.5,,,,
Col,Andre Burakovsky,"LW,RW",26.4,34.985,13.635,157.915,36.0,31.8,3.9,,,,
Fla,MacKenzie Weegar,D,12.47,37.53,1.88,170.32,,,,,,,
Cls,Zach Werenski,D,18.825,27.695,11.675,196.015,56.8,84.7,2.8,,,,
StL,Vladimir Tarasenko,RW,21.75,32.51,11.875,209.9,81.3,37.1,3.0,,,,
Pit,Tristan Jarry,G,,,,,,,,35.135,0.909,1664.03,3.95
Fla,Sergei Bobrovsky,G,,,,,,,,33.845,0.905,1582.88,3.165
Phi,Ryan Ellis,D,11.755,39.03,7.865,164.425,56.5,134.2,1.7,,,,
Phi,Ivan Provorov,D,12.545,25.835,9.77,178.02,106.9,149.7,1.7,,,,
Ott,Thomas Chabot,D,9.68,42.48,11.74,196.27,95.5,111.3,1.1,,,,
TB,Mikhail Sergachev,D,8.705,31.38,9.655,153.605,114.2,111.7,1.5,,,,
Edm,Zach Hyman,"LW,RW",28.93,26.135,5.405,189.575,104.0,38.7,4.2,,,,
Nsh,Filip Forsberg,LW,26.79,33.905,14.45,242.45,90.8,30.1,4.2,,,,
Min,Jared Spurgeon,D,13.23,28.325,12.495,137.275,75.8,134.6,1.6,,,,
SJ,Tomas Hertl,"C,LW",30.785,37.84,12.58,183.72,56.6,55.6,3.8,,,,
Cls,Patrik Laine,"LW,RW",29.44,26.98,15.79,215.965,80.3,39.7,3.8,,,,
Was,Tom Wilson,RW,22.78,27.85,6.68,153.43,206.8,49.2,3.2,,,,
Col,Samuel Girard,D,6.175,37.625,10.25,136.4,64.1,101.8,0.7,,,,
Col,Devon Toews,D,10.815,31.375,6.79,171.825,66.0,103.0,1.9,,,,
Phi,Carter Hart,G,,,,,,,,32.055,0.904,1684.88,3.175
Edm,Mike Smith,G,,,,,,,,34.875,0.909,1690.205,4.03
SJ,Brent Burns,D,12.5,38.085,13.545,230.965,66.0,129.0,1.7,,,,
Dal,Jamie Benn,"C,LW",22.58,30.575,10.775,191.82,135.0,53.1,3.1,,,,
Van,Oliver Ekman-Larsson,D,9.2,31.35,8.58,148.2,,,,,,,
NJ,Ty Smith,D,4.62,34.225,9.845,115.27,58.6,64.9,0.5,,,,
Min,Kevin Fiala,"LW,RW",29.74,34.465,18.14,230.935,41.3,22.6,5.6,,,,
NYR,Ryan Strome,"C,RW",19.395,43.485,14.775,163.795,48.5,33.1,2.6,,,,
Cgy,Jacob Markstrom,G,,,,,,,,32.86,0.907,1800.785,3.79
Was,Vitek Vanecek,G,,,,,,,,12.52,0.906,629.89,1.545
Car,Teuvo Teravainen,"LW,RW",18.885,45.795,14.28,200.105,29.0,28.5,2.6,,,,
Min,Matt Dumba,D,7.65,22.59,5.29,157.59,,,,,,,
Bos,Jeremy Swayman,G,,,,,,,,11.585,0.911,537.1,2.155
Det,Alex Nedeljkovic,G,,,,,,,,23.575,0.912,1674.82,4.33
NJ,Jack Hughes,"C,LW",16.46,29.87,7.88,187.745,25.6,27.8,2.4,,,,
VGK,Alec Martinez,D,10.43,27.08,9.09,141.395,67.9,214.2,1.4,,,,
Sea,Mark Giordano,D,10.23,31.76,10.555,201.37,61.2,169.9,1.7,,,,
Phi,Sean Couturier,C,28.72,41.41,12.85,215.54,59.9,40.2,4.8,,,,
Sea,Vince Dunn,D,11.405,22.44,9.365,157.935,68.5,83.9,2.1,,,,
Car,Tony DeAngelo,D,13.41,37.325,14.265,167.075,64.6,84.2,1.9,,,,
Chi,Dominik Kubalik,"LW,RW",31.03,24.95,12.155,191.38,89.7,24.5,4.4,,,,
SJ,Evander Kane,"LW,RW",27.665,26.77,11.0,223.58,98.2,18.7,2.4,,,,
Van,Bo Horvat,C,27.135,31.1,12.52,192.92,75.9,62.6,3.1,,,,
Mon,Tyler Toffoli,"LW,RW",32.345,25.76,11.175,233.935,81.7,18.6,4.3,,,,
Nsh,Mattias Ekholm,D,8.98,29.08,5.065,170.58,57.8,97.7,1.7,,,,
Dal,Jake Oettinger,G,,,,,,,,21.915,0.907,1188.74,2.5
Buf,Rasmus Dahlin,D,7.045,37.61,15.805,148.97,114.2,77.5,1.5,,,,
Car,Vincent Trocheck,C,20.105,35.555,14.71,202.54,134.5,44.0,2.9,,,,
Cls,Jakub Voracek,"LW,RW",13.96,42.49,11.31,163.96,24.0,27.8,2.9,,,,
Min,Kaapo Kahkonen,G,,,,,,,,11.205,0.905,571.88,1.36
Phi,Claude Giroux,"C,LW",22.67,39.515,15.51,204.66,41.7,14.3,3.6,,,,
Tor,Jake Muzzin,D,8.215,27.715,1.43,154.325,146.1,132.6,1.1,,,,
NYI,Anders Lee,LW,27.015,23.47,9.865,220.22,101.1,43.8,4.4,,,,
SJ,Erik Karlsson,D,9.6,36.85,14.095,169.25,39.2,92.4,1.0,,,,
Dal,Braden Holtby,G,,,,,,,,15.3,0.907,843.7,1.8
NYR,Chris Kreider,LW,29.005,21.22,12.92,167.465,143.0,45.2,3.6,,,,
Bos,Matt Grzelcyk,D,6.805,24.375,8.735,154.695,64.0,78.5,1.3,,,,
NYR,Alexandar Georgiev,G,,,,,,,,9.97,0.907,520.215,1.345
Was,Anthony Mantha,"LW,RW",30.175,34.11,9.74,207.085,74.1,35.0,2.4,,,,
Phi,Rasmus Ristolainen,D,6.35,28.26,7.62,124.635,213.5,91.8,0.9,,,,
Fla,Radko Gudas,D,3.0,14.1,0.0,118.1,253.2,101.0,0.4,,,,
Sea,Alex Wennberg,"C,LW",11.6,21.4,6.1,93.2,35.7,42.5,1.7,,,,
Phi,Keith Yandle,D,5.075,36.44,17.67,147.07,34.1,56.9,1.0,,,,
NYI,Ryan Pulock,D,9.09,27.0,6.23,183.445,142.6,154.1,1.6,,,,
NJ,P.K. Subban,D,9.59,19.1,5.38,166.21,,,,,,,
Dal,Ryan Suter,D,6.15,29.75,8.455,117.65,52.6,85.7,1.1,,,,
Edm,Mikko Koskinen,G,,,,,,,,11.155,0.908,576.34,1.165
Det,Robby Fabbri,"C,LW",22.2,21.925,7.295,132.82,81.2,27.4,5.0,,,,
NYR,K'Andre Miller,D,7.2,16.1,3.1,116.5,134.1,115.4,1.3,,,,
Dal,Anton Khudobin,G,,,,,,,,11.585,0.909,586.8,1.6
Bos,Craig Smith,RW,21.0,21.7,8.0,210.3,83.5,23.6,2.9,,,,
Pit,Brian Dumoulin,D,4.5,18.4,0.3,92.6,115.3,104.0,0.5,,,,
NYR,Alexis Lafreniere,LW,23.4,29.9,9.9,143.0,70.7,20.1,5.7,,,,
Sea,Brandon Tanev,"LW,RW",13.6,16.4,0.2,110.4,268.1,71.5,1.9,,,,
Van,Nils Hoglander,"LW,RW",18.8,22.2,2.2,166.2,43.6,28.9,2.2,,,,
NYI,Adam Pelech,D,4.7,16.9,0.4,117.3,122.5,128.5,0.7,,,,
StL,Pavel Buchnevich,RW,23.71,34.675,10.49,167.815,76.3,34.7,3.3,,,,
Chi,Jonathan Toews,C,23.565,42.855,11.695,177.795,46.2,33.0,3.8,,,,
Det,Tyler Bertuzzi,"LW,RW",26.03,28.92,11.225,130.545,73.4,34.5,2.8,,,,
Mon,Brendan Gallagher,RW,26.885,23.13,6.725,268.865,87.9,30.9,3.6,,,,
Sea,Yanni Gourde,"C,RW",19.1,29.3,10.3,150.4,77.2,30.7,4.0,,,,
Was,Justin Schultz,D,5.085,27.32,8.36,123.165,54.9,81.6,0.9,,,,
