name,line,ppu
Matt Martin,4,
Casey Cizikas,4,
Cal Clutterbuck,4,
Adam Pelech,1,
Ryan Pulock,1,2.0
Andy Greene,2,
Noah Dobson,2,1.0
Zdeno Chara,3,
Scott Mayfield,3,
Chris Kreider,1,1.0
Mika Zibanejad,1,1.0
Alexis Lafreniere,1,2.0
Artemi Panarin,2,1.0
Ryan Strome,2,1.0
Kaapo Kakko,2,2.0
Barclay Goodrow,3,
Filip Chytil,3,2.0
Vitali Kravtsov,3,
Sammy Blais,4,
Kevin Rooney,4,
Ryan Reaves,4,
Ryan Lindgren,1,
Adam Fox,1,1.0
K'Andre Miller,2,2.0
Jacob Trouba,2,2.0
Patrik Nemeth,3,
Nils Lundkvist,3,
Brady Tkachuk,1,1.0
Josh Norris,1,1.0
Drake Batherson,1,1.0
Tim Stützle,2,1.0
Chris Tierney,2,
Connor Brown,2,2.0
Nick Paul,3,
Shane Pinto,3,2.0
Zach Sanford,3,
Alex Formenton,4,
Colin White,4,2.0
Austin Watson,4,
Thomas Chabot,1,1.0
Artem Zub,1,
Michael Del Zotto,2,2.0
Nikita Zaitsev,2,
Nick Holden,3,
Erik Brannstrom,3,2.0
Claude Giroux,1,1.0
Sean Couturier,1,1.0
Travis Konecny,1,1.0
James van Riemsdyk,2,1.0
Morgan Frost,2,
Joel Farabee,2,2.0
Oskar Lindblom,3,
Derick Brassard,3,2.0
Cam Atkinson,3,2.0
Nate Thompson,4,
Scott Laughton,4,
Nicolas Aube-Kubel,4,
Ivan Provorov,1,2.0
Ryan Ellis,1,1.0
Travis Sanheim,2,
Rasmus Ristolainen,2,
Keith Yandle,3,2.0
Justin Braun,3,
Jake Guentzel,1,1.0
Jeff Carter,1,1.0
Danton Heinen,1,
Jason Zucker,2,1.0
Radim Zohorna,2,2.0
Kasperi Kapanen,2,2.0
Dominik Simon,3,
Evan Rodrigues,3,2.0
Bryan Rust,3,1.0
Zach Aston-Reese,4,
Teddy Blueger,4,
Brock McGinn,4,
Brian Dumoulin,1,
Kris Letang,1,1.0
Michael Matheson,2,2.0
John Marino,2,2.0
Marcus Pettersson,3,
Mark Friedman,3,
Jonathan Dahlen,1,2.0
Logan Couture,1,2.0
Timo Meier,1,1.0
Alexander Barabanov,2,2.0
Tomas Hertl,2,1.0
Noah Gregor,2,
Rudolfs Balcers,3,2.0
Nick Bonino,3,
Kevin Labanc,3,1.0
Andrew Cogliano,4,
Dylan Gambrell,4,
Matthew Nieto,4,
Mario Ferraro,1,2.0
Brent Burns,1,1.0
Nikolai Knyzhov,2,
Erik Karlsson,2,1.0
Radim Simek,3,
Marc-Edouard Vlasic,3,
Jaden Schwartz,1,1.0
Jared McCann,1,1.0
Jordan Eberle,1,1.0
Calle Jarnkrok,2,2.0
Alexander Wennberg,2,2.0
Mason Appleton,2,2.0
Ryan Donato,3,2.0
Morgan Geekie,3,
Joonas Donskoi,3,1.0
Brandon Tanev,4,
Riley Sheahan,4,
Colin Blackwell,4,
