team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Sea,25.0,Jared McCann,1.0,1.0,"C,LW",C,27.5,-15.5,167.4,35.5,33.0,-2.5,14.0,19.99,26.58,9.35,184.53,88.3,39.2,4.1,,,,
Car,21.0,Jesperi Kotkaniemi,3.0,2.0,"C,LW",C,19.7,-23.3,167.8,43.0,34.0,-9.0,14.0,15.595,18.375,4.81,137.095,112.3,41.3,2.0,,,,
StL,28.0,Colton Parayko,2.0,2.0,D,D,26.5,-5.6,167.9,35.0,42.0,7.0,14.0,9.32,21.41,3.28,184.28,104.0,138.8,1.1,,,,
Cls,24.0,Jack Roslovic,2.0,1.0,"C,RW",RW,22.5,-17.6,167.9,39.0,30.0,-9.0,14.0,18.6,29.4,9.1,146.7,64.9,34.0,2.3,,,,
Buf,26.0,Victor Olofsson,1.0,1.0,"LW,RW",LW,25.9,-15.5,168.3,27.0,31.0,4.0,15.0,22.9,28.855,17.45,171.74,22.7,19.6,2.8,,,,
TB,32.0,Alex Killorn,2.0,1.0,"LW,RW",RW,25.5,-14.6,168.4,34.0,31.0,-3.0,15.0,24.73,27.245,9.755,161.57,82.0,21.4,3.1,,,,
Wpg,23.0,Pierre-Luc Dubois,2.0,2.0,C,C,29.0,-14.0,168.6,33.0,35.0,2.0,15.0,21.755,33.22,9.52,158.43,98.4,48.7,3.7,,,,
StL,29.0,Justin Faulk,1.0,2.0,D,D,24.5,-7.6,168.8,37.0,43.0,6.0,15.0,7.955,18.14,3.8,167.82,137.7,108.0,1.5,,,,
Det,23.0,Filip Hronek,1.0,1.0,D,D,24.5,-7.6,169.2,37.0,44.0,7.0,15.0,7.92,31.56,10.68,144.47,110.2,77.2,0.5,,,,
Nsh,22.0,Eeli Tolvanen,2.0,1.0,"LW,RW",RW,32.4,-7.7,169.4,17.0,33.0,16.0,15.0,20.8,22.3,22.1,123.6,138.3,31.7,5.3,,,,
SJ,24.0,Timo Meier,1.0,1.0,"LW,RW",RW,32.9,-7.2,169.4,16.0,33.0,17.0,15.0,24.005,31.145,10.265,230.245,129.1,39.5,2.3,,,,
Ari,23.0,Clayton Keller,1.0,1.0,"LW,RW",RW,26.0,-14.1,169.4,32.0,33.0,1.0,15.0,21.08,33.11,12.85,188.08,28.6,21.0,3.5,,,,
Min,34.0,Mats Zuccarello,1.0,1.0,RW,RW,19.5,-20.6,169.6,40.0,35.0,-5.0,15.0,17.005,33.815,8.975,122.08,23.8,36.9,2.0,,,,
Min,36.0,Alex Goligoski,1.0,2.0,D,D,24.5,-7.6,169.9,37.0,45.0,8.0,15.0,4.55,30.665,8.5,102.2,95.2,143.9,0.5,,,,
NYI,29.0,Brock Nelson,2.0,2.0,C,C,29.7,-13.3,169.9,29.0,36.0,7.0,15.0,29.11,28.32,8.84,184.79,54.1,45.4,4.9,,,,
Phi,24.0,Travis Konecny,1.0,1.0,RW,RW,30.5,-9.6,170.2,22.0,36.0,14.0,15.0,22.78,36.42,13.525,172.545,83.5,36.8,3.4,,,,
