name,team,position,pick
Jake Allen,Mon,G,168.6
Adin Hill,SJ,G,168.6
Patric Hornqvist,Fla,RW,168.7
Justin Faulk,StL,D,168.8
Casey DeSmith,Pit,G,168.9
Joel Farabee,Phi,"LW,RW",169.1
Filip Hronek,Det,D,169.2
Ryan McDonagh,TB,D,169.2
Eeli Tolvanen,Nsh,"LW,RW",169.4
Timo Meier,SJ,"LW,RW",169.4
Clayton Keller,Ari,"LW,RW",169.4
Moritz Seider,Det,D,169.4
Mats Zuccarello,Min,RW,169.6
Jani Hakanpaa,Dal,D,169.8
Brock Nelson,NYI,C,169.9
Alex Goligoski,Min,D,169.9
Calvin Petersen,LA,G,170.2
Travis Konecny,Phi,RW,170.2
Jakub Vrana,Det,LW,170.3
Chris Driedger,Sea,G,170.3
Alexander Romanov,Mon,D,170.3
Nino Niederreiter,Car,"LW,RW",170.5
Bowen Byram,Col,D,170.7
Chandler Stephenson,VGK,"C,LW",170.7
Phillip Danault,LA,C,170.7
Yegor Sharangovich,NJ,"LW,RW",170.9
Noah Dobson,NYI,D,171.0
Shayne Gostisbehere,Ari,D,171.0
Logan Couture,SJ,C,171.3
Blake Coleman,Cgy,"LW,RW",171.5
Evgenii Dadonov,VGK,"LW,RW",172.0
Elvis Merzlikins,Cls,G,172.1
Adam Boqvist,Cls,D,172.4
Erik Cernak,TB,D,172.5
John Gibson,Anh,G,172.6
Frank Vatrano,Fla,"LW,RW",172.6
Esa Lindell,Dal,D,172.7
Nikita Zadorov,Cgy,D,172.8
Oliver Bjorkstrand,Cls,"LW,RW",172.9
Evan Bouchard,Edm,D,173.2
Anthony Duclair,Fla,"LW,RW",173.5
Josh Bailey,NYI,"LW,RW",173.6
Conor Garland,Van,"LW,RW",173.9
Mike Reilly,Bos,D,173.9
Jordan Staal,Car,C,174.2
Josh Morrissey,Wpg,D,174.2
Drake Batherson,Ott,RW,174.6
Jeff Carter,Pit,"C,RW",174.8
Joel Eriksson Ek,Min,C,175.0
Kevin Labanc,SJ,"LW,RW",175.7
Viktor Arvidsson,LA,"LW,RW",175.8
Trevor Zegras,Anh,"C,LW",175.8
Ben Bishop,Dal,G,175.9
Tim Stuetzle,Ott,LW,176.0
Jean-Gabriel Pageau,NYI,C,176.4
William Karlsson,VGK,C,176.5
Jaroslav Halak,Van,G,176.8
Laurent Brossoit,VGK,G,177.2
Cam Atkinson,Phi,RW,177.9
Denis Gurianov,Dal,"LW,RW",179.0
Dylan Larkin,Det,C,179.6
Josh Norris,Ott,C,180.1
Jaden Schwartz,Sea,LW,182.9
Sean Monahan,Cgy,C,183.8
