name,team,position,age,goals,assists,points,plus_minus,powerplay_points,game_winning_goals,shots_on_goal,blocks,hits,wins,shutouts,save_percentage,saves
Evgeny Kuznetsov,WSH,C,29.0,19.4,40.0,59.4,3.6,15.6,3.0,158.6,24.9,44.6,,,,
Reilly Smith,VGK,RW,30.0,23.5,28.7,52.2,13.4,9.6,3.8,180.8,30.7,56.4,,,,
Zach Hyman,EDM,LW/RW,29.0,26.6,25.2,51.8,22.4,5.1,4.2,170.2,38.7,104.0,,,,
Cam Atkinson,PHI,RW,32.0,23.7,23.8,47.5,0.0,13.4,3.8,217.0,30.2,27.9,,,,
Travis Konecny,PHI,RW,24.0,23.2,33.2,56.4,0.5,14.9,3.4,171.6,36.8,83.5,,,,
T.J. Oshie,WSH,C/RW,35.0,26.9,28.9,55.8,2.2,17.1,3.7,147.3,49.9,106.8,,,,
Cole Caufield,MTL,RW,21.0,27.3,25.3,52.5,-5.4,10.5,5.3,216.5,10.5,31.4,,,,
Josh Norris,OTT,C,22.0,25.7,30.1,55.8,-11.2,21.4,3.4,158.8,51.6,107.1,,,,
Martin Necas,CAR,C/RW,23.0,21.2,34.3,55.5,7.8,13.7,3.7,151.7,39.3,77.3,,,,
Alexander Radulov,DAL,LW/RW,35.0,20.2,30.4,50.5,8.2,15.6,3.7,160.4,49.6,52.8,,,,
Jared McCann,SEA,C/LW,25.0,21.7,27.7,49.4,7.2,11.9,4.1,186.2,39.2,88.3,,,,
Clayton Keller,ARI,LW/RW,23.0,19.4,33.5,52.9,-10.1,16.7,3.5,205.2,21.0,28.6,,,,
Ondrej Palat,TBL,LW,30.0,17.8,33.2,51.0,12.5,15.8,3.2,144.4,60.2,125.5,,,,
Craig Smith,BOS,RW,32.0,21.0,21.7,42.7,14.0,8.0,2.9,210.3,23.6,83.5,,,,
Jamie Benn,DAL,C/LW,32.0,20.9,27.9,48.8,6.5,13.0,3.1,181.4,53.1,135.0,,,,
Nazem Kadri,COL,C,31.0,20.6,26.0,46.6,0.0,13.7,2.7,207.6,19.2,66.4,,,,
Jakub Voracek,CBJ,LW/RW,32.0,15.6,46.9,62.4,-4.8,14.0,2.9,166.6,27.8,24.0,,,,
Sean Monahan,CGY,C,27.0,22.7,31.0,53.6,-1.7,15.1,5.0,169.8,24.0,60.1,,,,
Chris Kreider,NYR,LW,30.0,26.4,21.2,47.6,3.5,15.4,3.6,167.5,45.2,143.0,,,,
Alex Killorn,TBL,LW/RW,32.0,21.1,27.0,48.1,17.7,10.3,3.1,159.4,21.4,82.0,,,,
Victor Olofsson,BUF,LW/RW,26.0,22.2,28.3,50.4,-10.8,21.1,2.8,176.7,19.6,22.7,,,,
Phil Kessel,ARI,RW,34.0,22.6,32.8,55.4,-16.4,20.8,3.2,174.7,18.5,16.7,,,,
Tomas Tatar,NJD,LW/RW,31.0,21.4,33.5,54.8,3.0,11.6,2.9,168.9,30.5,88.3,,,,
Jack Hughes,NJD,C/LW,20.0,19.5,35.7,55.2,-2.9,8.6,2.4,206.8,27.8,25.6,,,,
Logan Couture,SJS,C,32.0,24.8,29.1,53.9,-3.4,13.6,3.2,172.8,54.3,65.1,,,,
Tim Stutzle,OTT,LW,20.0,21.2,32.8,54.0,-9.4,15.9,3.1,184.7,26.0,82.4,,,,
Viktor Arvidsson,LAK,LW/RW,28.0,24.2,21.6,45.7,4.6,7.0,3.9,216.6,40.7,29.5,,,,
Drake Batheron,OTT,RW,23.0,21.3,30.7,51.9,-9.8,23.3,3.6,149.8,48.3,147.4,,,,
Jordan Eberle,SEA,RW,31.0,22.2,26.6,48.8,3.2,11.5,4.2,176.0,33.7,44.0,,,,
Jaden Schwartz,SEA,LW,29.0,19.9,31.3,51.1,3.1,12.6,3.0,164.5,35.2,65.1,,,,
Evgeni Malkin,PIT,C,35.0,16.9,37.3,54.3,-1.6,17.9,3.0,134.7,21.1,34.3,,,,
Anthony Mantha,WSH,LW/RW,27.0,23.2,25.2,48.4,-4.1,9.7,2.4,196.6,35.0,74.1,,,,
Sam Bennett,FLA,C/LW,25.0,20.8,25.8,46.6,1.9,6.5,3.5,207.1,30.8,174.1,,,,
Carter Verhaeghe,FLA,C/LW,26.0,26.2,23.7,49.8,10.6,4.0,4.0,167.2,23.2,60.5,,,,
Kyle Palmieri,NYI,LW/RW,30.0,22.1,19.5,41.6,-1.0,15.3,3.6,179.4,31.4,88.2,,,,
Nino Niederreiter,CAR,LW/RW,29.0,21.8,22.5,44.3,8.0,9.8,3.3,169.9,23.3,86.0,,,,
Nico Hischier,NJD,C,23.0,19.5,30.1,49.6,-1.6,12.5,2.6,168.9,49.3,56.7,,,,
Yanni Gourde,SEA,C/RW,30.0,19.1,29.3,48.4,8.7,10.3,4.0,150.4,30.7,77.2,,,,
James van Riemsdyk,PHI,LW,32.0,21.2,24.9,46.1,-1.2,12.1,2.4,176.6,19.6,38.9,,,,
Mikael Backlund,CGY,C/RW,32.0,16.5,30.4,46.8,1.9,8.1,2.9,196.5,25.8,54.2,,,,
Oliver Wahlstrom,NYI,RW,21.0,20.0,17.3,37.2,3.2,15.8,2.8,173.2,29.5,110.0,,,,
Dustin Brown,LAK,RW,37.0,21.4,22.2,43.5,-0.7,12.1,2.9,177.9,19.8,132.2,,,,
Anthony Duclair,FLA,LW/RW,26.0,21.4,24.1,45.5,6.7,6.3,2.8,178.0,31.5,55.5,,,,
Trevor Zegras,ANA,C/LW,20.0,17.4,35.3,52.7,2.5,4.3,1.9,180.5,18.3,32.9,,,,
Rickard Rakell,ANA,LW/RW,28.0,18.3,27.9,46.2,-6.6,9.6,2.1,200.2,29.3,90.5,,,,
Chandler Stephenson,VGK,C/LW,27.0,18.5,28.1,46.6,21.6,6.9,5.0,119.1,47.8,65.9,,,,
