name,team,position,age,goals,assists,points,plus_minus,powerplay_points,game_winning_goals,shots_on_goal,blocks,hits,wins,shutouts,save_percentage,saves
Juuse Saros,NSH,G,26.0,,,,,,,,,,25.8,5.5,0.919,1558.1
Matt Murray,OTT,G,27.0,,,,,,,,,,20.6,2.3,0.905,1478.6
Marc-Andre Fleury,CHI,G,37.0,,,,,,,,,,26.1,4.8,0.917,1522.9
Igor Shesterkin,NYR,G,26.0,,,,,,,,,,27.5,3.2,0.917,1402.2
Thatcher Demko,VAN,G,26.0,,,,,,,,,,24.6,2.7,0.913,1525.2
Carter Hart,PHI,G,23.0,,,,,,,,,,26.9,2.1,0.905,1346.4
Darcy Kuemper,COL,G,31.0,,,,,,,,,,31.5,4.3,0.919,1325.1
Linus Ullmark,BOS,G,28.0,,,,,,,,,,27.8,3.5,0.914,1299.8
Mike Smith,EDM,G,39.0,,,,,,,,,,27.0,3.3,0.912,1367.8
Tristan Jarry,PIT,G,26.0,,,,,,,,,,25.8,3.3,0.913,1316.2
Cam Talbot,MIN,G,34.0,,,,,,,,,,26.6,3.8,0.915,1320.7
Carey Price,MTL,G,34.0,,,,,,,,,,23.0,3.3,0.909,1225.6
Philipp Grubauer,SEA,G,30.0,,,,,,,,,,24.5,4.2,0.918,1297.6
Frederik Andersen,CAR,G,32.0,,,,,,,,,,24.8,2.6,0.91,1199.2
Carter Hutton,ARI,G,36.0,,,,,,,,,,16.1,2.0,0.903,1261.6
Cal Petersen,LAK,G,27.0,,,,,,,,,,20.3,2.0,0.913,1256.0
Alex Nedeljkovic,DET,G,26.0,,,,,,,,,,19.0,4.1,0.917,1291.2
Semyon Varlamov,NYI,G,33.0,,,,,,,,,,23.6,3.6,0.918,1154.0
Craig Anderson,BUF,G,40.0,,,,,,,,,,16.5,1.7,0.904,1284.4
Elvis Merzlikins,CBJ,G,27.0,,,,,,,,,,18.6,4.4,0.917,1231.3
Ilya Samsonov,WSH,G,24.0,,,,,,,,,,22.0,3.1,0.908,1116.0
Adin Hill,SJS,G,25.0,,,,,,,,,,19.1,3.0,0.91,1207.3
Mackenzie Blackwood,NJD,G,25.0,,,,,,,,,,20.5,2.4,0.91,1182.3
Sergei Bobrovsky,FLA,G,33.0,,,,,,,,,,23.0,1.8,0.907,1156.9
Jack Campbell,TOR,G,30.0,,,,,,,,,,25.3,3.3,0.915,1083.6
Petr Mrazek,TOR,G,29.0,,,,,,,,,,24.6,3.7,0.912,1029.4
Spencer Knight,FLA,G,20.0,,,,,,,,,,22.4,2.9,0.913,1103.7
Vitek Vanecek,WSH,G,26.0,,,,,,,,,,20.4,2.6,0.908,1037.3
Jonathan Bernier,NJD,G,33.0,,,,,,,,,,19.5,2.1,0.91,1098.5
James Reimer,SJS,G,33.0,,,,,,,,,,17.8,2.3,0.908,1124.1
Joonas Korpisalo,CBJ,G,27.0,,,,,,,,,,15.8,1.4,0.903,1069.7
Aaron Dell,BUF,G,32.0,,,,,,,,,,13.7,1.6,0.9,1071.1
Ilya Sorokin,NYI,G,26.0,,,,,,,,,,20.1,3.3,0.914,992.2
Thomas Greiss,DET,G,36.0,,,,,,,,,,15.6,2.1,0.912,1087.3
Jonathan Quick,LAK,G,36.0,,,,,,,,,,16.1,2.1,0.906,1021.6
Josef Korenar,ARI,G,24.0,,,,,,,,,,13.7,1.0,0.901,1012.0
Anton Khudobin,DAL,G,35.0,,,,,,,,,,19.1,2.7,0.915,953.9
Antti Raanta,CAR,G,32.0,,,,,,,,,,19.4,2.1,0.912,910.1
Chris Driedger,SEA,G,27.0,,,,,,,,,,18.2,3.5,0.918,971.4
Jake Allen,MTL,G,31.0,,,,,,,,,,17.2,1.8,0.91,897.0
Kaapo Kahkonen,MIN,G,25.0,,,,,,,,,,18.1,2.2,0.905,918.0
Casey DeSmith,PIT,G,30.0,,,,,,,,,,18.1,2.7,0.913,916.0
Mikko Koskinen,EDM,G,33.0,,,,,,,,,,17.6,1.8,0.909,930.8
Jeremy Swayman,BOS,G,23.0,,,,,,,,,,18.9,3.8,0.916,850.9
Braden Holtby,DAL,G,32.0,,,,,,,,,,15.3,1.8,0.907,843.7
Pavel Francouz,COL,G,30.0,,,,,,,,,,19.9,1.9,0.915,835.3
Martin Jones,PHI,G,32.0,,,,,,,,,,14.5,1.7,0.9,814.1
Alexandar Georgiev,NYR,G,25.0,,,,,,,,,,15.6,2.2,0.909,817.9
Jaroslav Halak,VAN,G,36.0,,,,,,,,,,14.3,1.8,0.91,895.2
Kevin Lankinen,CHI,G,26.0,,,,,,,,,,14.6,1.8,0.91,875.1
Anton Forsberg,OTT,G,29.0,,,,,,,,,,11.9,0.5,0.907,853.2
David Rittich,NSH,G,29.0,,,,,,,,,,12.1,1.0,0.907,750.4
Ville Husso,STL,G,26.0,,,,,,,,,,13.0,1.7,0.903,707.8
Anthony Stolarz,ANA,G,28.0,,,,,,,,,,10.2,2.3,0.912,713.9
Laurent Brossoit,VGK,G,28.0,,,,,,,,,,14.8,1.5,0.911,646.7
Daniel Vladar,CGY,G,24.0,,,,,,,,,,11.3,1.4,0.904,597.4
Brian Elliott,TBL,G,36.0,,,,,,,,,,11.8,1.1,0.903,582.7
Eric Comrie,WPG,G,26.0,,,,,,,,,,9.1,0.5,0.888,511.4
Jake Oettinger,DAL,G,23.0,,,,,,,,,,7.0,0.5,0.911,384.5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20.2,2.7,0.91,1102.1
,,,,,,,,,,,,,6.3,1.2,0.006,292.7
