name,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts,custom_rank,cat_score,rank,rank_arbitrage,round
Alex Killorn,LW,-15.3115,-14.0155,4.968,-11.45,-76.8,-41.9,-19.85,,,,,,186,-0.010131602,,,1
Marc-Edouard Vlasic,D,-3.558375,-17.376375,-9.99625,-12.3,-62.125,-90.825,8.675,,,,,,187,-0.010146952,,,1
Michael Matheson,D,-3.553375,-21.621375,-24.33625,-14.3,-27.125,-59.825,-9.325,,,,,,189,-0.010248436,,,1
Bobby Ryan,RW,-12.34425,-15.1985,-52.736,-14.4,-90.05,-5.4,-10.45,,,,,,195,-0.010881257,,,1
Jakob Chychrun,D,-4.638375,-20.746375,-65.46625,-12.3,-31.125,-8.825,-33.325,,,,,,198,-0.011153087,,,1
Jaccob Slavin,D,-4.833375,-15.731375,-51.05625,-14.3,-50.125,-79.825,20.675,,,,,,208,-0.011796084,,,1
T.J. Brodie,D,-7.013375,-5.416375,-48.05625,-6.3,-79.125,-95.825,-22.325,,,,,,219,-0.012910436,,,1
Kevin Labanc,RW,-17.36425,-15.1085,-19.806,-10.4,-82.05,-82.4,-23.45,,,,,,223,-0.013277246,,,1
Gustav Nyquist,RW,-9.62925,-22.0085,-68.526,-13.4,-64.05,-51.4,-19.45,,,,,,229,-0.014508832,,,1
Brock Nelson,C,-15.3935,-34.23125,-26.4895,-19.25,-85.4,-38.3,-6.65,,,,,,233,-0.015005721,,,1
Brendan Perlini,LW,-12.5765,-25.4005,-77.302,-6.45,-90.8,-56.9,-16.85,,,,,,235,-0.015243722,,,1
Bryan Little,C,-18.9635,-24.62625,-6.7795,-13.25,-118.4,-44.3,-26.65,,,,,,237,-0.015337005,,,1
Marcus Johansson,LW,-17.4215,-15.1155,-69.492,-7.45,-116.8,-80.9,-21.85,,,,,,243,-0.016741466,,,1
Thomas Vanek,LW,-11.9865,-14.1955,-90.602,-5.45,-90.8,-93.9,-27.85,,,,,,244,-0.016805095,,,1
Vladislav Namestnikov,C,-16.0285,-31.17625,-73.4295,,,,,,,,,,246,-0.016838991,,,1
Vladislav Namestnikov,LW,-15.0815,-15.9255,,-10.45,-107.8,-61.9,-8.85,,,,,,246,-0.016838991,,,1
Robby Fabbri,LW,-9.0815,-14.9255,,-7.45,-77.8,-60.9,-30.85,,,,,,247,-0.01708179,,,1
Robby Fabbri,C,-17.1685,-30.57625,-46.9495,,,,,,,,,,247,-0.01708179,,,1
Christian Dvorak,C,-17.6485,-28.97625,,-18.25,-80.4,-9.3,-4.65,,,,,,248,-0.017095827,,,1
Christian Dvorak,LW,-17.0015,-19.0355,-73.862,,,,,,,,,,248,-0.017095827,,,1
Samuel Girard,D,-8.168375,-11.981375,-55.33625,-5.3,-117.125,-74.825,-70.325,,,,,,249,-0.017158598,,,1
Andre Burakovsky,LW,-14.4615,-20.7155,6.588,,,,,,,,,,253,-0.018018092,,,1
Andre Burakovsky,RW,-12.36925,-21.3385,,-18.4,-109.05,-73.4,-19.45,,,,,,253,-0.018018092,,,1
Travis Sanheim,D,-6.203375,-17.811375,-20.24625,-18.3,-78.125,-78.825,-83.325,,,,,,254,-0.018027924,,,1
Mitch Marner,RW,-8.36925,9.6615,,3.6,-50.05,-74.4,-12.45,,,,,,255,-0.018137979,,,1
Mitch Marner,C,-11.9885,-1.25625,-15.8895,,,,,,,,,,255,-0.018137979,,,1
Tyler Bozak,C,-20.2135,-23.42625,-61.2495,-11.25,-110.4,-46.3,-29.65,,,,,,257,-0.018939078,,,1
Andre Burakovsky,RW,-12.36925,-21.3385,,-18.4,-109.05,-73.4,-19.45,,,,,,258,-0.019486241,,,1
Andre Burakovsky,LW,-14.4615,-20.7155,6.588,,,,,,,,,,258,-0.019486241,,,1
Dylan Strome,C,-17.6935,-29.53625,-69.8195,-15.25,-104.4,-66.3,-13.65,,,,,,259,-0.01991935,,,1
Jesper Bratt,RW,-19.36925,-15.3385,,-13.4,-138.05,-66.4,-20.45,,,,,,260,-0.020003749,,,1
Jesper Bratt,LW,-18.5815,-17.1555,-63.602,,,,,,,,,,260,-0.020003749,,,1
Andreas Athanasiou,C,-17.7685,-35.93625,-87.8995,,,,,,,,,,261,-0.020929787,,,1
Andreas Athanasiou,LW,-12.0815,-21.9255,,-15.45,-79.8,-99.9,-18.85,,,,,,261,-0.020929787,,,1
Jesper Bratt,LW,-18.5815,-17.1555,-63.602,,,,,,,,,,263,-0.02225437,,,1
Jesper Bratt,RW,-19.36925,-15.3385,,-13.4,-138.05,-66.4,-20.45,,,,,,263,-0.02225437,,,1
Christian Dvorak,C,-17.6485,-28.97625,,-18.25,-80.4,-9.3,-4.65,,,,,,264,-0.022871706,,,1
Christian Dvorak,LW,-17.0015,-19.0355,-73.862,,,,,,,,,,264,-0.022871706,,,1
Charlie Coyle,C,-21.7585,-22.37625,-17.6495,,,,,,,,,,265,-0.02289468,,,1
Charlie Coyle,RW,-14.36925,-15.3385,,-18.4,-105.05,-1.4,20.55,,,,,,265,-0.02289468,,,1
Robby Fabbri,C,-17.1685,-30.57625,-46.9495,,,,,,,,,,266,-0.025064758,,,1
Robby Fabbri,LW,-9.0815,-14.9255,,-7.45,-77.8,-60.9,-30.85,,,,,,266,-0.025064758,,,1
Pages: 1 2 3 All,RW,,,,,,,,,,,,,269,-0.026528828,,,1
Pages: 1 2 3 All,LW,,,,,,,,,,,,,269,-0.026528828,,,1
Vladislav Namestnikov,LW,-15.0815,-15.9255,,-10.45,-107.8,-61.9,-8.85,,,,,,270,-0.026798107,,,1
Vladislav Namestnikov,C,-16.0285,-31.17625,-73.4295,,,,,,,,,,270,-0.026798107,,,1
Pages: 1 2 3 All,LW,,,,,,,,,,,,,272,-0.027240334,,,1
Pages: 1 2 3 All,RW,,,,,,,,,,,,,272,-0.027240334,,,1
Pages: 1 2 3 4 All,C,,,,,,,,,,,,,273,-0.027543525,,,1
Pages: 1 2 3 4 All,D,,,,,,,,,,,,,273,-0.027543525,,,1
Andreas Athanasiou,LW,-12.0815,-21.9255,,-15.45,-79.8,-99.9,-18.85,,,,,,274,-0.028781354,,,1
Andreas Athanasiou,C,-17.7685,-35.93625,-87.8995,,,,,,,,,,274,-0.028781354,,,1
Pages: 1 2 3 4 All,C,,,,,,,,,,,,,276,-0.031076883,,,1
Pages: 1 2 3 4 All,D,,,,,,,,,,,,,276,-0.031076883,,,1
Chad Johnson,G,,,,,,,,-11.76925,-0.2305,-25.412,-0.007325,-1.90025,282,-0.056041056,,,1
Michal Neuvirth,G,,,,,,,,-19.95925,-0.1805,-1197.132,-0.005825,-2.66025,292,-0.104331307,,,1
Ryan Miller,G,,,,,,,,-23.40925,-0.2055,-1176.182,-0.002825,-3.15525,293,-0.107109603,,,1
Malcolm Subban,G,,,,,,,,-20.91925,-0.2005,-1204.442,-0.005825,-3.02025,295,-0.110041469,,,1
Jonathan Bernier,G,,,,,,,,-21.47925,-0.3205,-1180.852,-0.007325,-2.70525,298,-0.118858128,,,1
