name,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts,custom_rank,cat_score,rank,rank_arbitrage,round
Kyle Connor,LW,-0.6565,-12.6805,-8.722,-7.45,-38.8,-108.9,-17.85,,,,,,163,-0.007773271,150,-13,16
Ryan Nugent-Hopkins,C,-8.9985,-21.94625,-37.8295,-12.25,-80.4,-45.3,-17.65,,,,,,218,-0.012440256,151,-67,16.1
Jake Muzzin,D,-4.023375,-6.691375,-49.68625,-5.3,-5.125,55.175,-11.325,,,,,,59,-0.000877223,152,93,16.2
Ryan Pulock,D,-0.513375,-15.361375,-7.44625,-7.3,-0.125,-0.825,-46.325,,,,,,80,-0.002964722,154,74,16.4
Cam Fowler,D,-3.503375,-8.591375,-32.86625,-3.3,-60.125,-88.825,-16.325,,,,,,175,-0.008758373,155,-20,16.5
Aaron Ekblad,D,2.561625,-17.206375,-18.30625,-7.3,2.875,-31.825,-56.325,,,,,,101,-0.004269157,156,55,16.6
Alex DeBrincat,RW,-2.87925,-17.3285,-23.786,-11.4,-48.05,-69.4,-18.45,,,,,,172,-0.008380295,157,-15,16.7
Kevin Shattenkirk,D,-3.373375,-6.836375,-61.75625,3.7,-65.125,-48.825,-45.325,,,,,,164,-0.007775625,158,-6,16.8
Jake Gardiner,D,-6.333375,2.918625,-1.95625,-4.3,-64.125,-55.825,-58.325,,,,,,158,-0.007459576,159,1,16.9
Jack Roslovic,RW,-18.41425,-19.1335,4.414,-24.4,-148.05,-64.4,-24.45,,,,,,251,-0.017324158,161,-90,17.1
Jacob Trouba,D,-5.173375,-12.231375,6.92375,-13.3,-17.125,-0.825,3.675,,,,,,92,-0.003704036,162,70,17.2
Craig Smith,RW,-6.43425,-20.3285,4.974,-16.4,-26.05,-32.4,-22.45,,,,,,146,-0.006794422,163,17,17.3
Jimmy Howard,G,,,,,,,,-13.33425,-0.2355,17.448,-0.007825,-1.84025,283,-0.057313621,164,-119,17.4
Robin Lehner,G,,,,,,,,-18.32425,-0.3005,-1173.232,-0.005325,-2.72525,294,-0.109530256,165,-129,17.5
Jake Guentzel,LW,-4.4265,-9.8205,-0.672,-9.45,-75.8,8.1,-1.85,,,,,,76,-0.002500104,166,90,17.6
Sam Reinhart,RW,-6.89925,-15.5185,-78.376,-6.4,-60.05,-79.4,-9.45,,,,,,203,-0.011567888,167,-36,17.7
Matt Duchene,C,-9.6335,-21.58625,-63.9295,-13.25,-60.4,-38.3,-7.65,,,,,,216,-0.012315603,168,-48,17.8
Mikhail Sergachev,D,-2.813375,-8.751375,15.15375,-3.3,-44.125,-28.825,-72.325,,,,,,115,-0.004933845,169,54,17.9
Nazem Kadri,C,-5.5535,-27.56625,-19.3495,-10.25,-35.4,28.7,-23.65,,,,,,122,-0.00543642,170,48,18
Roberto Luongo,G,,,,,,,,-8.18425,-0.0455,-238.072,-0.000325,-1.16025,267,-0.025285692,171,-96,18.1
Thomas Chabot,D,-0.783375,-13.851375,-51.37625,-6.3,-77.125,-67.825,-60.325,,,,,,206,-0.01166655,172,-34,18.2
Kyle Okposo,RW,-12.77925,-12.9485,-78.376,-2.4,-66.05,-50.4,-16.45,,,,,,207,-0.011741319,174,-33,18.4
Sami Vatanen,D,-6.958375,-9.211375,-43.09625,-2.3,-47.125,-36.825,-25.325,,,,,,168,-0.008256251,175,7,18.5
Shea Theodore,D,-3.643375,-6.401375,13.30375,-6.3,-30.125,-86.825,-54.325,,,,,,156,-0.007440348,176,20,18.6
Colin Miller,D,-2.048375,-9.426375,10.01375,-3.3,-30.125,44.175,-72.325,,,,,,58,-0.000814964,177,119,18.7
Anders Lee,LW,2.4485,-22.2605,-38.932,-3.45,-42.8,16.1,-10.85,,,,,,93,-0.003729773,178,85,18.8
Craig Anderson,G,,,,,,,,-10.91425,-0.3305,12.768,-0.007325,-0.76025,280,-0.051400593,179,-101,18.9
Pierre-Luc Dubois,C,-12.9285,-20.45625,-27.6095,-8.25,-64.4,38.7,-6.65,,,,,,102,-0.004270693,180,78,19
Andrei Svechnikov,RW,-6.51425,-20.3585,-68.226,-6.4,6.95,-51.4,-5.45,,,,,,153,-0.007111946,181,28,19.1
J.T. Miller,LW,-6.7715,-4.1755,24.428,-8.45,-53.8,5.1,-1.85,,,,,,52,0.000336967,182,130,19.2
Brandon Montour,D,-3.053375,-12.826375,-26.01625,-5.3,-35.125,-32.825,-57.325,,,,,,162,-0.007653473,184,22,19.4
Josh Bailey,LW,-13.9065,7.7345,-34.882,-0.45,-82.8,-102.9,-1.85,,,,,,114,-0.004808243,185,71,19.5
Corey Perry,RW,-9.27425,-10.2285,-34.796,-6.4,-71.05,-31.4,-10.45,,,,,,142,-0.006605692,186,44,19.6
Travis Konecny,RW,-7.47425,-18.7185,-21.466,-15.4,-59.05,-16.4,-5.45,,,,,,143,-0.006614333,187,44,19.7
Justin Schultz,D,-6.048375,-10.406375,18.81375,-5.3,-69.125,-68.825,-32.325,,,,,,166,-0.008007348,188,22,19.8
Mika Zibanejad,C,-7.9935,-27.38125,-44.4395,-9.25,-77.4,-21.3,-0.65,,,,,,176,-0.008763577,189,13,19.9
Kevin Fiala,LW,-9.2515,-16.5655,-7.722,-7.45,-40.8,-91.9,-15.85,,,,,,178,-0.009053645,192,14,20.2
Ryan McDonagh,D,-6.728375,-5.391375,46.16375,-14.3,-77.125,-35.825,20.675,,,,,,106,-0.004456194,193,87,20.3
Jordan Eberle,RW,-4.38925,-10.1935,-12.086,-8.4,-54.05,-67.4,-14.45,,,,,,125,-0.005615064,194,69,20.4
Petr Mrazek,G,,,,,,,,-20.46425,-0.4505,-1194.372,-0.012825,-2.17025,299,-0.13441028,195,-104,20.5
Erik Johnson,D,-3.013375,-20.181375,-42.63625,-12.3,-50.125,-8.825,9.675,,,,,,159,-0.007555594,196,37,20.6
Tyler Toffoli,RW,-7.70925,-21.7485,-46.836,-14.4,-11.05,-44.4,-19.45,,,,,,190,-0.010282754,197,7,20.7
Derek Stepan,C,-19.6185,-13.09125,-70.3195,-9.25,-76.4,-28.3,-16.65,,,,,,224,-0.013661596,198,-26,20.8
Will Butcher,D,-6.443375,-0.626375,-40.71625,1.7,-78.125,-56.825,-115.325,,,,,,212,-0.011917929,199,-13,20.9
Noah Hanifin,D,-2.913375,-15.386375,-44.37625,-8.3,-50.125,-51.825,-66.325,,,,,,205,-0.011663986,200,-5,21
Scott Darling,G,,,,,,,,-11.47425,-0.2855,-46.792,-0.011325,-1.73525,286,-0.067324009,201,-85,21.1
Jonathan Drouin,C,-17.0585,-12.61125,-63.0495,-0.25,-20.4,-37.3,-34.65,,,,,,191,-0.010643797,202,11,21.2
Pavel Buchnevich,LW,-16.5915,-12.8155,-43.892,-6.45,-100.8,-83.9,-16.85,,,,,,222,-0.013260048,203,-19,21.3
Alec Martinez,D,-3.038375,-20.501375,-43.14625,-6.3,-65.125,13.175,47.675,,,,,,91,-0.003646421,204,113,21.4
Kyle Turris,C,-18.0335,-19.59125,-9.3295,-9.25,-73.4,-60.3,-11.65,,,,,,194,-0.010875836,205,11,21.5
Elias Lindholm,RW,-14.13925,-15.2935,-39.226,-9.4,-71.05,-10.4,0.55,,,,,,151,-0.006896211,206,55,21.6
Bo Horvat,C,-10.3185,-26.21125,-92.1395,-12.25,-56.4,-31.3,-12.65,,,,,,232,-0.014838975,207,-25,21.7
Tyson Jost,C,-19.8485,-38.94125,-67.1395,-16.25,-86.4,-53.3,-26.65,,,,,,262,-0.021956134,209,-53,21.9
Anthony Mantha,RW,-3.32425,-18.3685,-66.026,-11.4,-10.05,-36.4,-6.45,,,,,,155,-0.007279011,210,55,22
Tomas Hertl,LW,-9.6815,-16.9705,-26.002,-9.45,-71.8,-32.9,20.15,,,,,,98,-0.00410152,211,113,22.1
Juuse Saros,G,,,,,,,,-18.01925,0.0795,-1195.222,0.004675,-1.86025,281,-0.055173175,212,-69,22.2
Nino Niederreiter,RW,-5.96425,-23.9885,-1.676,-13.4,-58.05,23.6,-21.45,,,,,,128,-0.005931336,213,85,22.3
